ID,DataType,ORIGINAL_TraitID,ORIGINAL_TraitDefinition,TraitValue,TraitUnit,N_TraitValue,ConTaxa,ResTaxa,ConTaxaStage,ResTaxaStage,Con_ForagingMovement,Con_RESDetectionDimensionality,Res_ForagingMovement,Res_CONDetectionDimensionality,CON_MASS_value,RES_MASS_value,ResArenaSize_SI_UNIT,ResDensity_SI_VALUE,ResDensityUnit,ResDensity,ResArenaSize_SI_VALUE,ConTemp,ResTemp,ResReplaceRate,ResReplaceUnit,ResReplace,TraitSIValue,TraitSIUnit,N_TraitID,N_TraitConversion,N_CONVERTED,N_TraitUnit,Original_ErrorValue,Original_ErrorValueUnit,Replicates,ConTaxon,ConStage,ConCommon,Con_MovementDimensionality,Con_Thermy,Res_MovementDimensionality,ResTaxon,ResStage,ResCommon,Res_Thermy,Habitat,LabField,ObservationtimeSI,ObservationtimeSIUnits,ConStarvationTimeSI,ConStarvationTimeSIUnits,ConArenaSiz_VALUE,ConArenaSize_UNIT,ConDensity,ConDensityUnit,ConDensity_SI_VALUE,ConDensityConst,ConSizType,CON_ORIGINAL_value,CON_ORIGINAL_unit,Con_Siz_reference,ResSizType,RES_ORIGINAL_value,RES_ORIGINAL_unit,Res_Siz_reference,Citation,FigureTable
39835,new,Resource Consumption Rate,The number of resource consumed per number of consumers per time,8.67993,Individual/(Individual*120 mins),0.001205546,Cyclops bicuspidatus Claus 1857,Panagrolaimus spp.,Cyclops bicuspidatus Claus 1857 [adult],Panagrolaimus spp. [adult],active,sphere,active,sphere,1.41E-008,0.00000769,cubic meter,3333333.333,Individuals per arena,10,0.000003,20,20,,,No,,,,,,,,,1,Diacyclops bicuspidatus Claus 1857,Adult,Holarctic cyclopoid copepod,3D,ectotherm,3D,Panagrolaimus sp.,Adult,Nematode,ectotherm,Freshwater,Laboratory,7200,seconds,259200,seconds,0.000003,cubic meter,1,Individuals per arena,0,Yes,dry mass,6.23E-009,kilogram,original,dry mass,6E-011,kilogram,original,[91] Muschiol D. et al. Predator-prey relationship between the cyclopoid copepod Diacyclops bicuspidatus and a free-living bacterivorous nematode. Nematology 2008. 10: p. 55-62.,Fig 1
39835,new,Resource Consumption Rate,The number of resource consumed per number of consumers per time,7.66727,Individual/(Individual*120 mins),0.001064899,Cyclops bicuspidatus Claus 1857,Panagrolaimus spp.,Cyclops bicuspidatus Claus 1857 [adult],Panagrolaimus spp. [adult],active,sphere,active,sphere,1.41E-008,0.00000769,cubic meter,3333333.333,Individuals per arena,10,0.000003,20,20,,,No,,,,,,,,,1,Diacyclops bicuspidatus Claus 1857,Adult,Holarctic cyclopoid copepod,3D,ectotherm,3D,Panagrolaimus sp.,Adult,Nematode,ectotherm,Freshwater,Laboratory,7200,seconds,259200,seconds,0.000003,cubic meter,1,Individuals per arena,0,Yes,dry mass,6.23E-009,kilogram,original,dry mass,6E-011,kilogram,original,[91] Muschiol D. et al. Predator-prey relationship between the cyclopoid copepod Diacyclops bicuspidatus and a free-living bacterivorous nematode. Nematology 2008. 10: p. 55-62.,Fig 1
39835,new,Resource Consumption Rate,The number of resource consumed per number of consumers per time,8.67993,Individual/(Individual*120 mins),0.001205546,Cyclops bicuspidatus Claus 1857,Panagrolaimus spp.,Cyclops bicuspidatus Claus 1857 [adult],Panagrolaimus spp. [adult],active,sphere,active,sphere,1.41E-008,0.00000769,cubic meter,3333333.333,Individuals per arena,10,0.000003,20,20,,,No,,,,,,,,,1,Diacyclops bicuspidatus Claus 1857,Adult,Holarctic cyclopoid copepod,3D,ectotherm,3D,Panagrolaimus sp.,Adult,Nematode,ectotherm,Freshwater,Laboratory,7200,seconds,259200,seconds,0.000003,cubic meter,1,Individuals per arena,0,Yes,dry mass,6.23E-009,kilogram,original,dry mass,6E-011,kilogram,original,[91] Muschiol D. et al. Predator-prey relationship between the cyclopoid copepod Diacyclops bicuspidatus and a free-living bacterivorous nematode. Nematology 2008. 10: p. 55-62.,Fig 1
39835,new,Resource Consumption Rate,The number of resource consumed per number of consumers per time,18.4448,Individual/(Individual*120 mins),0.002561778,Cyclops bicuspidatus Claus 1857,Panagrolaimus spp.,Cyclops bicuspidatus Claus 1857 [adult],Panagrolaimus spp. [adult],active,sphere,active,sphere,1.41E-008,0.00000769,cubic meter,8333333.333,Individuals per arena,25,0.000003,20,20,,,No,,,,,,,,,1,Diacyclops bicuspidatus Claus 1857,Adult,Holarctic cyclopoid copepod,3D,ectotherm,3D,Panagrolaimus sp.,Adult,Nematode,ectotherm,Freshwater,Laboratory,7200,seconds,259200,seconds,0.000003,cubic meter,1,Individuals per arena,0,Yes,dry mass,6.23E-009,kilogram,original,dry mass,6E-011,kilogram,original,[91] Muschiol D. et al. Predator-prey relationship between the cyclopoid copepod Diacyclops bicuspidatus and a free-living bacterivorous nematode. Nematology 2008. 10: p. 55-62.,Fig 1
39835,new,Resource Consumption Rate,The number of resource consumed per number of consumers per time,17.3599,Individual/(Individual*120 mins),0.002411097,Cyclops bicuspidatus Claus 1857,Panagrolaimus spp.,Cyclops bicuspidatus Claus 1857 [adult],Panagrolaimus spp. [adult],active,sphere,active,sphere,1.41E-008,0.00000769,cubic meter,8333333.333,Individuals per arena,25,0.000003,20,20,,,No,,,,,,,,,1,Diacyclops bicuspidatus Claus 1857,Adult,Holarctic cyclopoid copepod,3D,ectotherm,3D,Panagrolaimus sp.,Adult,Nematode,ectotherm,Freshwater,Laboratory,7200,seconds,259200,seconds,0.000003,cubic meter,1,Individuals per arena,0,Yes,dry mass,6.23E-009,kilogram,original,dry mass,6E-011,kilogram,original,[91] Muschiol D. et al. Predator-prey relationship between the cyclopoid copepod Diacyclops bicuspidatus and a free-living bacterivorous nematode. Nematology 2008. 10: p. 55-62.,Fig 1
39835,new,Resource Consumption Rate,The number of resource consumed per number of consumers per time,14.4665,Individual/(Individual*120 mins),0.002009236,Cyclops bicuspidatus Claus 1857,Panagrolaimus spp.,Cyclops bicuspidatus Claus 1857 [adult],Panagrolaimus spp. [adult],active,sphere,active,sphere,1.41E-008,0.00000769,cubic meter,8333333.333,Individuals per arena,25,0.000003,20,20,,,No,,,,,,,,,1,Diacyclops bicuspidatus Claus 1857,Adult,Holarctic cyclopoid copepod,3D,ectotherm,3D,Panagrolaimus sp.,Adult,Nematode,ectotherm,Freshwater,Laboratory,7200,seconds,259200,seconds,0.000003,cubic meter,1,Individuals per arena,0,Yes,dry mass,6.23E-009,kilogram,original,dry mass,6E-011,kilogram,original,[91] Muschiol D. et al. Predator-prey relationship between the cyclopoid copepod Diacyclops bicuspidatus and a free-living bacterivorous nematode. Nematology 2008. 10: p. 55-62.,Fig 1
39835,new,Resource Consumption Rate,The number of resource consumed per number of consumers per time,11.4286,Individual/(Individual*120 mins),0.001587306,Cyclops bicuspidatus Claus 1857,Panagrolaimus spp.,Cyclops bicuspidatus Claus 1857 [adult],Panagrolaimus spp. [adult],active,sphere,active,sphere,1.41E-008,0.00000769,cubic meter,8333333.333,Individuals per arena,25,0.000003,20,20,,,No,,,,,,,,,1,Diacyclops bicuspidatus Claus 1857,Adult,Holarctic cyclopoid copepod,3D,ectotherm,3D,Panagrolaimus sp.,Adult,Nematode,ectotherm,Freshwater,Laboratory,7200,seconds,259200,seconds,0.000003,cubic meter,1,Individuals per arena,0,Yes,dry mass,6.23E-009,kilogram,original,dry mass,6E-011,kilogram,original,[91] Muschiol D. et al. Predator-prey relationship between the cyclopoid copepod Diacyclops bicuspidatus and a free-living bacterivorous nematode. Nematology 2008. 10: p. 55-62.,Fig 1
39835,new,Resource Consumption Rate,The number of resource consumed per number of consumers per time,31.1754,Individual/(Individual*120 mins),0.004329917,Cyclops bicuspidatus Claus 1857,Panagrolaimus spp.,Cyclops bicuspidatus Claus 1857 [adult],Panagrolaimus spp. [adult],active,sphere,active,sphere,1.41E-008,0.00000769,cubic meter,16666666.67,Individuals per arena,50,0.000003,20,20,,,No,,,,,,,,,1,Diacyclops bicuspidatus Claus 1857,Adult,Holarctic cyclopoid copepod,3D,ectotherm,3D,Panagrolaimus sp.,Adult,Nematode,ectotherm,Freshwater,Laboratory,7200,seconds,259200,seconds,0.000003,cubic meter,1,Individuals per arena,0,Yes,dry mass,6.23E-009,kilogram,original,dry mass,6E-011,kilogram,original,[91] Muschiol D. et al. Predator-prey relationship between the cyclopoid copepod Diacyclops bicuspidatus and a free-living bacterivorous nematode. Nematology 2008. 10: p. 55-62.,Fig 1
39836,new,Resource Consumption Rate,The number of resource consumed per number of consumers per time,2.83388,Individual/(Individual*90 mins),0.000524793,Rhyacophila dorsalis (Curtis 1834),Chironomus spp.,Rhyacophila dorsalis (Curtis 1834) [instar 5],Chironomus spp. [larva],active,surface,active,surface,0.0000242,0.00000024,square meter ,249.15375,Individuals per arena,19.9323,0.08,11.4,11.4,0.000524793,individuals / second,Yes,,,,,,,0.40621,95%CI,10,Rhyacophila dorsalis (Curtis),Fifth Instar,Caddis larva,2D,ectotherm,2D,Chironomus sp.,Juvenile,Chironomid larva,ectotherm,Freshwater,Enclosure,5400,seconds,259200,seconds,0.08,square meter ,1,Individuals per arena,#VALUE!,Yes,length,15.9,millimeter,Elliott J.M. (1968) The life histories and drifting of Trichoptera in a Dartmoor stream. Journal of Animal Ecology 37 615ﾖ625.,length,6.5,millimeter,original,[106] Elliott J.M. Ontogenetic shifts in the functional response and interference interactions of Rhyacophila dorsalis larvae (Trichoptera). Freshwater Biology 2005. 50(12): p. 2021-2033.,Fig 1a
39836,new,Resource Consumption Rate,The number of resource consumed per number of consumers per time,5.13029,Individual/(Individual*90 mins),0.000950054,Rhyacophila dorsalis (Curtis 1834),Chironomus spp.,Rhyacophila dorsalis (Curtis 1834) [instar 5],Chironomus spp. [larva],active,surface,active,surface,0.0000242,0.00000024,square meter ,502.17125,Individuals per arena,40.1737,0.08,11.4,11.4,0.000950054,individuals / second,Yes,,,,,,,0.66378,95%CI,10,Rhyacophila dorsalis (Curtis),Fifth Instar,Caddis larva,2D,ectotherm,2D,Chironomus sp.,Juvenile,Chironomid larva,ectotherm,Freshwater,Enclosure,5400,seconds,259200,seconds,0.08,square meter ,1,Individuals per arena,#VALUE!,Yes,length,15.9,millimeter,Elliott J.M. (1968) The life histories and drifting of Trichoptera in a Dartmoor stream. Journal of Animal Ecology 37 615ﾖ625.,length,6.5,millimeter,original,[106] Elliott J.M. Ontogenetic shifts in the functional response and interference interactions of Rhyacophila dorsalis larvae (Trichoptera). Freshwater Biology 2005. 50(12): p. 2021-2033.,Fig 1a
