Study,Experiment,Temp,STD.Temp,Met,STD.Met,Cons,STD.Cons,Ratio,Species,Common.name,Source,plotchar,fillcol
1,1,14,-1.177,0.35,-1.2,0.013,-1.393,1.074,Manduca sexta,Tobacco Hookworm,Kingsolver and Woods 1997,24,white
1,1,18,-0.784,0.61,-0.829,0.029,-0.705,0.962,Manduca sexta,Tobacco Hookworm,Kingsolver and Woods 1998,24,white
1,1,26,0,1.3,0.154,0.056,0.456,0.932,Manduca sexta,Tobacco Hookworm,Kingsolver and Woods 1999,24,white
1,1,34,0.784,1.7,0.724,0.066,0.885,0.967,Manduca sexta,Tobacco Hookworm,Kingsolver and Woods 2000,24,white
1,1,38,1.177,2,1.151,0.063,0.756,1.083,Manduca sexta,Tobacco Hookworm,Kingsolver and Woods 2001,24,white
1,1,42,1.569,2.5,1.864,0.018,-1.178,2.078,Manduca sexta,Tobacco Hookworm,Kingsolver and Woods 2002,24,white
2,2,14,-1.029,20.1,-1.122,17.3,-0.519,0.827,Paralichthys californicus,Halibut - adult,Madon 2002,21,grey
2,2,20,0.061,27.4,0.323,130,1.153,0.839,Paralichthys californicus,Halibut - adult,Madon 2002,21,grey
2,2,25,0.968,29.8,0.798,9.5,-0.634,1.425,Paralichthys californicus,Halibut - adult,Madon 2002,21,grey
2,3,14,-1.264,24.3,-0.909,70.8,-0.193,0.812,Paralichthys californicus,Halibut - juvenile,Madon 2002,21,black
2,3,20,-0.285,31.7,-0.42,41.7,-1.093,1.232,Paralichthys californicus,Halibut - juvenile,Madon 2002,21,black
2,3,25,0.53,36.8,-0.083,75.7,-0.042,0.99,Paralichthys californicus,Halibut - juvenile,Madon 2002,21,black
2,3,28,1.019,59.4,1.411,120,1.329,1.015,Paralichthys californicus,Halibut - juvenile,Madon 2002,21,black
3,4,6,-1.097,0.048,-1.078,0.092,-1.255,1.064,Acipenser oxyrinchus,Sturgeon - juvenile,Niklitschek and Secor,21,white
3,4,12,-0.47,0.099,-0.584,0.25,-0.337,0.933,Acipenser oxyrinchus,Sturgeon - juvenile,Niklitschek and Secor,21,white
3,4,20,0.366,0.22,0.589,0.47,0.942,0.929,Acipenser oxyrinchus,Sturgeon - juvenile,Niklitschek and Secor,21,white
3,4,28,1.201,0.27,1.073,0.42,0.651,1.091,Acipenser oxyrinchus,Sturgeon - juvenile,Niklitschek and Secor,21,white
4,5,10,-1.581,1.86,-0.731,0.201,-1.274,1.199,Oncorhynchus mykiss,Rainbow Trout,Myrick and Cech,24,grey
4,5,14,-0.806,1.73,-0.748,0.226,-0.964,1.071,Oncorhynchus mykiss,Rainbow Trout,Myrick and Cech,24,grey
4,5,19,0.161,1.95,-0.719,0.238,-0.815,1.03,Oncorhynchus mykiss,Rainbow Trout,Myrick and Cech,24,grey
4,6,10,-1.581,1.96,-0.718,0.327,0.292,0.765,Oncorhynchus mykiss,Rainbow Trout,Myrick and Cech,24,grey
4,6,14,-0.806,1.7,-0.752,0.261,-0.524,0.934,Oncorhynchus mykiss,Rainbow Trout,Myrick and Cech,24,grey
4,6,19,0.161,1.88,-0.728,0.248,-0.684,0.987,Oncorhynchus mykiss,Rainbow Trout,Myrick and Cech,24,grey
4,7,19,0.161,14.1,0.892,0.359,0.685,1.044,Oncorhynchus mykiss,Rainbow Trout,Myrick and Cech,24,grey
4,7,22,0.742,13.4,0.799,0.312,0.101,1.17,Oncorhynchus mykiss,Rainbow Trout,Myrick and Cech,24,grey
4,7,25,1.323,5,-0.315,0.271,-0.41,1.026,Oncorhynchus mykiss,Rainbow Trout,Myrick and Cech,24,grey
4,8,19,0.161,24.5,2.27,0.473,2.099,1.028,Oncorhynchus mykiss,Rainbow Trout,Myrick and Cech,24,grey
4,8,22,0.742,15,1.011,0.414,1.373,0.933,Oncorhynchus mykiss,Rainbow Trout,Myrick and Cech,24,grey
4,8,25,1.323,5.4,-0.262,0.313,0.12,0.907,Oncorhynchus mykiss,Rainbow Trout,Myrick and Cech,24,grey
