Student ID,Strain,Treatment,ColonyCount,HaloLawn
A1,899,Control,0,NA
A1,881,Control,0,NA
A1,TA102,Control,0,NA
A10,421,NG,0,NA
A10,712,NG,0,NA
A10,881,Control,0,NA
A12,899,Control,0,NA
A12,712,NG,0,NA
A12,881,NG,0,NA
A12,TA102,Control,0,NA
A13,899,Control,0,NA
A13,712,NG,0,NA
A14,421,NG,0,NA
A14,899,Control,0,NA
A14,712,NG,0,NA
A14,881,Control,0,NA
A15,899,Control,0,NA
A15,712,NG,0,NA
A16,421,NG,0,NA
A16,712,NG,0,NA
A17,899,Control,0,NA
A3,899,Control,0,NA
A3,881,Control,0,NA
A3,TA102,Control,0,NA
A4,TA102,Control,0,NA
A5,421,NG,0,NA
A5,899,Control,0,NA
A5,712,NG,0,NA
A5,TA102,Control,0,NA
A6,899,Control,0,NA
A6,TA102,NG,0,NA
A7,899,Control,0,NA
A8,421,NG,0,NA
A8,899,Control,0,NA
A8,712,NG,0,NA
A8,881,Control,0,NA
A8,TA102,NG,0,NA
A9,421,NG,0,NA
A9,899,Control,0,NA
A9,712,NG,0,NA
A9,881,Control,0,NA
B1,421,NG,0,NA
B1,712,NG,0,NA
B10,421,NG,0,NA
B10,899,Control,0,NA
B10,712,NG,0,NA
B11,421,NG,0,NA
B11,899,Control,0,NA
B11,712,NG,0,NA
B11,881,Control,0,NA
B11,TA102,NG,0,NA
B12,421,NG,0,NA
B12,899,Control,0,NA
B12,712,NG,0,NA
B12,881,Control,0,NA
B12,TA102,NG,0,NA
B13,899,Control,0,NA
B13,712,NG,0,NA
B13,TA102,NG,0,NA
B14,421,NG,0,NA
B14,899,Control,0,NA
B14,712,NG,0,NA
B14,881,Control,0,NA
B15,421,NG,0,NA
B15,899,Control,0,NA
B15,712,NG,0,NA
B15,881,Control,0,NA
B16,421,NG,0,NA
B16,899,Control,0,NA
B16,712,NG,0,NA
B16,881,Control,0,NA
B17,421,NG,0,NA
B17,899,Control,0,NA
B17,712,NG,0,NA
B2,421,NG,0,NA
B2,899,Control,0,NA
B2,712,NG,0,NA
B2,881,Control,0,NA
B3,421,NG,0,NA
B3,899,Control,0,NA
B3,712,NG,0,NA
B4,421,NG,0,NA
B4,712,NG,0,NA
B4,881,Control,0,NA
B5,712,NG,0,NA
B6,421,NG,0,NA
B6,899,Control,0,NA
B6,712,NG,0,NA
B6,881,Control,0,NA
B7,421,NG,0,NA
B7,899,Control,0,NA
B7,712,NG,0,NA
B7,TA102,NG,0,NA
B8,421,NG,0,NA
B8,899,Control,0,NA
B8,712,NG,0,NA
B8,881,Control,0,NA
B9,421,NG,0,NA
B9,899,Control,0,NA
B9,712,NG,0,NA
B9,TA102,NG,0,NA
A16,899,Control,1,NA
A16,881,Control,1,NA
B1,899,Control,1,NA
B4,899,Control,1,NA
B5,899,Control,1,NA
B5,881,Control,1,NA
A15,881,Control,2,NA
B3,881,Control,2,NA
B7,881,Control,2,NA
