Sex,Overall,Gonad
F,29.9,4.31
F,32.89,3.04
F,45.75,6.48
F,37.85,5.51
F,23.53,4.45
F,42.08,8.2
F,24.32,2.86
F,34.25,2.94
F,38.69,5.94
F,15.96,2.31
F,40.85,4.83
F,35.06,3.05
F,27.47,2.87
F,26.73,2.16
F,35.9,4.26
F,41.84,5.52
F,38.07,4.31
F,30.23,1.9
F,35.7,3.48
F,26.09,1.81
F,36,4.66
F,27.57,3.24
F,30.61,3.23
F,34.98,5.28
F,28.86,2.82
F,42.55,4.43
F,43.96,5.63
F,45.46,7.09
F,23.8,3.21
F,34.82,4.92
F,29.6,1.15
F,24.5,2.23
F,33.4,3.92
F,31.15,2.04
F,26.14,3.1
F,33.84,6.88
F,30.36,6.13
F,32.16,4.53
F,39.03,5.63
F,32.02,4.99
F,28.9,4.05
F,33.23,3.98
F,30.83,4.38
F,39.72,5.65
F,34.07,5.23
F,40.63,7.45
F,37,5.55
F,29.61,3.27
F,30.19,3.99
F,33.13,6.08
F,29.75,4.55
F,31.47,4.87
F,47.4,4.92
F,32.9,5.27
F,46.42,6.53
F,29.66,1.113
M,52.56,1.7
M,40.1,0.43
M,43.43,1.28
M,48.39,2.16
M,27.54,0.94
M,30.04,1.2
M,28.29,0.56
M,34.19,1.1
M,44.07,2.59
M,24.19,1.23
M,56.43,1.09
M,15.67,0.22
M,17.01,1.02
M,25.56,1.32
M,52.58,2.78
M,20.77,0.61
M,13.66,0.52
M,35.75,1.06
M,45.11,3.09
M,28.82,2.7
M,29.92,3.36
M,23.2,0.24
M,34.55,2.13
M,24.77,0.23
M,30.7,1.79
M,20.57,0.63
M,40.72,2.57
M,38.99,1.49
M,29.44,0.55
M,22.57,0.32
M,26.91,2.61
M,37.2,3.63
M,42.36,1.15
M,37.92,0.95
M,50.81,2.51
M,48.68,1.82
M,37.21,1.31
M,48.39,0.36
M,27.93,1.99
M,35.09,1.34
M,39.17,2.28
M,51.12,3.24
M,32.74,2.28
M,39.28,1.23
M,31.47,1.33
M,65.12,2.25
