MSW93_Order	MSW93_Family	MSW93_Genus	MSW93_Species	MSW93_Binomial	1-1_ActivityCycle	5-1_AdultBodyMass_g	8-1_AdultForearmLen_mm	13-1_AdultHeadBodyLen_mm	2-1_AgeatEyeOpening_d	3-1_AgeatFirstBirth_d	18-1_BasalMetRate_mLO2hr	5-2_BasalMetRateMass_g	6-1_DietBreadth	7-1_DispersalAge_d	9-1_GestationLen_d	12-1_HabitatBreadth	22-1_HomeRange_km2	22-2_HomeRange_Indiv_km2	14-1_InterBirthInterval_d	15-1_LitterSize	16-1_LittersPerYear	17-1_MaxLongevity_m	5-3_NeonateBodyMass_g	13-2_NeonateHeadBodyLen_mm	21-1_PopulationDensity_n/km2	10-1_PopulationGrpSize	23-1_SexualMaturityAge_d	10-2_SocialGrpSize	24-1_TeatNumber	12-2_Terrestriality	6-2_TrophicLevel	25-1_WeaningAge_d	5-4_WeaningBodyMass_g	13-3_WeaningHeadBodyLen_mm	References	5-5_AdultBodyMass_g_EXT	16-2_LittersPerYear_EXT	5-6_NeonateBodyMass_g_EXT	5-7_WeaningBodyMass_g_EXT	26-1_GR_Area_km2	26-2_GR_MaxLat_dd	26-3_GR_MinLat_dd	26-4_GR_MRLat_dd	26-5_GR_MaxLong_dd	26-6_GR_MinLong_dd	26-7_GR_MRLong_dd	27-1_HuPopDen_Min_n/km2	27-2_HuPopDen_Mean_n/km2	27-3_HuPopDen_5p_n/km2	27-4_HuPopDen_Change	28-1_Precip_Mean_mm	28-2_Temp_Mean_01degC	30-1_AET_Mean_mm	30-2_PET_Mean_mm
Rodentia	Muridae	Abditomys	latidens	Abditomys latidens	-999	268	-999	223.99	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	2152	-999	-999	-999	-999	357	16.94	16.74	16.84	120.97	120.78	120.88	93	93	93	0.09	316	180	1443	1557
Rodentia	Muridae	Abrawayaomys	ruschii	Abrawayaomys ruschii	-999	63	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	2655	-999	-999	-999	-999	126137	-15.09	-19.84	-17.47	-40.52	-43.56	-42.04	5	21.21	7	0.06	107.06	209.1	1084.47	1402.39
Rodentia	Abrocomidae	Abrocoma	bennettii	Abrocoma bennettii	1	251	-999	-999	-999	-999	-999	-999	-999	-999	-999	3	-999	-999	-999	4.86	-999	27.6	-999	-999	142	-999	-999	-999	-999	2	-999	-999	-999	-999	543;890;1297;1492;2655	-999	-999	-999	-999	54616	-27.71	-35.58	-31.64	-69.4	-71.7	-70.55	0	63.15	1	0.07	20.44	17.66	213.09	1073.78
Rodentia	Abrocomidae	Abrocoma	boliviensis	Abrocoma boliviensis	-999	158	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	2655	-999	-999	-999	-999	5774	-17.44	-18.05	-17.75	-63.49	-64.51	-64	5	29.24	5	0.04	82.63	175.55	1171.61	1487.33
Rodentia	Abrocomidae	Abrocoma	cinerea	Abrocoma cinerea	-999	194	-999	-999	-999	-999	-999	-999	-999	-999	109.64	3	-999	-999	-999	2.2	-999	-999	13.3	-999	-999	-999	-999	-999	-999	2	-999	-999	-999	-999	890;1297;1627;2655	-999	-999	-999	-999	381391	-14.43	-24.35	-19.39	-64.27	-70.6	-67.43	0	13.72	0	0.06	48.46	35.22	515.1	1257.35
Chiroptera	Pteropodidae	Acerodon	celebensis	Acerodon celebensis	-999	382	133.49	201.55	-999	-999	-999	-999	-999	-999	-999	1	-999	-999	-999	0.98	-999	-999	-999	-999	-999	-999	-999	-999	-999	2	-999	-999	-999	-999	978;1297;1658;2151;2655	-999	-999	-999	-999	173613	3.74	-6.49	-1.37	126.34	118.75	122.55	5	92.68	17	0.07	229.41	215.47	1812.6	1909.15
Chiroptera	Pteropodidae	Acerodon	humilis	Acerodon humilis	-999	-999	139.99	-999	-999	-999	-999	-999	-999	-999	-999	1	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	2	-999	-999	-999	-999	79;1658;2151	352	-999	-999	-999	87	4.04	3.81	3.93	126.73	126.6	126.67	109	109	109	0	-999	-999	-999	-999
Chiroptera	Pteropodidae	Acerodon	jubatus	Acerodon jubatus	-999	1090	191.44	-999	-999	-999	-999	-999	2	-999	-999	1	-999	-999	-999	1	1	-999	-999	-999	-999	1000	-999	-999	-999	2	1	-999	-999	-999	79;1015;1309;1439;1658;2017;2151;2655;2885	-999	-999	-999	-999	261661	18.65	5.55	12.1	126.6	119.74	123.17	19	238.14	34	0.1	202.52	242.33	1471.66	1734.15
Chiroptera	Pteropodidae	Acerodon	leucotis	Acerodon leucotis	-999	-999	139.53	-999	-999	-999	-999	-999	-999	-999	-999	1	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	2	-999	-999	-999	-999	679;1658;2151	349	-999	-999	-999	12832	12.33	7.8	10.06	120.34	116.93	118.63	22	43.33	25	0.21	224	249.78	-999	-999
Chiroptera	Pteropodidae	Acerodon	lucifer	Acerodon lucifer	-999	-999	164.74	-999	-999	-999	-999	-999	-999	-999	-999	1	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	2	-999	-999	-999	-999	79;679;1658;2151	560	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
