Species,Common name,Class,Order,M g,FMR kJ day-1
Pipistrellus pipistrellus,Pipistrelle,Mammalia,Chiroptera,7.3,29.3
Plecotus auritus,Brown long-eared bat,Mammalia,Chiroptera,8.5,27.6
Myotis lucifugus,Little brown bat,Mammalia,Chiroptera,9,29.9
Gerbillus henleyi,Northern pygmy gerbil,Mammalia,Rodentia,9.3,26.5
Tarsipes rostratus,Honey possum,Mammalia,Diprotodontia,9.9,34.4
Anoura caudifer,Flower-visiting bat,Mammalia,Chiroptera,11.5,51.9
Macrotus californicus,Big-eared bat,Mammalia,Chiroptera,13,21.5
Peromyscus crinitus,Cactus mouse,Mammalia,Rodentia,13.4,39.3
Mus domesticus,Wild house mouse,Mammalia,Rodentia,15.1,47.1
Cleithrionomys rutilus,Bank vole,Mammalia,Rodentia,16,57.6
Sminthopsis crassicaudata,Narrow-footed marsup. mouse,Mammalia,Dasyuromorphia,16.6,68.6
Perognathus formosus,Long-tailed pocket mouse,Mammalia,Rodentia,17.9,45.2
Peromyscus maniculatus,Deer mouse,Mammalia,Rodentia,17.9,53.4
Peromyscus leucopus,White-footed deer mouse,Mammalia,Rodentia,19.2,41.4
Microtus arvalis,Meadow mouse,Mammalia,Rodentia,20,90
Eremitalpa namibensis,Namib Desert golden mole,Mammalia,Afrosoricida,20.7,12.5
Eptesicus fuscus,Big brown bat,Mammalia,Chiroptera,20.8,43.6
Gerbillus allenbyi,Allenby's gerbil,Mammalia,Rodentia,22.8,35.6
Cleithrionomys glareolus,Bank vole,Mammalia,Rodentia,23.4,88
Microtus agrestis,Field vole,Mammalia,Rodentia,26.8,77.8
Gerbillus pyramidum,Greater Egyptian gerbil,Mammalia,Rodentia,31.8,45.2
Pseudomys albocinereus,Australian native mouse,Mammalia,Rodentia,32.6,62.2
Antechinus stuartii,Brown antechinus,Mammalia,Dasyuromorphia,33,86.4
Phascogale calura,Wambenger,Mammalia,Dasyuromorphia,33.5,61.9
Dipodomys merriami,Merriam's kangaroo rat,Mammalia,Rodentia,34.3,47.6
Microtus pennsylvanicus,Meadow vole,Mammalia,Rodentia,36.9,115
Acomys cahirinus,Common spiny mouse,Mammalia,Rodentia,38.3,51.8
Sekeetamys calurus,Bushy-tailed jird,Mammalia,Rodentia,41.2,44
Microgale dobsoni,Shrew-tenrec,Mammalia,Afrosoricida,42.6,77.1
Microgale talazaci,Shrew-tenrec,Mammalia,Afrosoricida,42.8,66.5
Acomys russatus,Golden spiny mouse,Mammalia,Rodentia,45,47.8
Lemmus trimucronatus,Brown lemming,Mammalia,Rodentia,55.2,201
Dipodomys microps,Chisel-tooth kangaroo rat,Mammalia,Rodentia,57.1,84.5
Paraomys natalensis,Multi-mammate mouse,Mammalia,Rodentia,57.3,86.6
Antechinus swainsonii,Broad-footed marsup. mouse,Mammalia,Dasyuromorphia,62.6,150
Meriones crassus,Jird,Mammalia,Rodentia,69.2,65
Phyllostomus hastatus,Spear-nosed bat,Mammalia,Chiroptera,80.8,146
Arvicola terrestris,Water vole,Mammalia,Rodentia,85.8,119
Ammospermophilus leucurus,Antelope ground squirrel,Mammalia,Rodentia,87,88
Tamias striatus,Eastern chipmunk,Mammalia,Rodentia,96.3,143
Thomomys bottae,Botta's pocket gopher,Mammalia,Rodentia,104,130
Petaurus breviceps,Sugar glider,Mammalia,Diprotodontia,124,173
Gymnobelideus leadbeateri,Leadbeater's possum,Mammalia,Diprotodontia,125,226
Psammomys obesus,Fat sand rat,Mammalia,Rodentia,170,165
Spermophilus saturatus,Golden-mantled ground sqrl.,Mammalia,Rodentia,214,226
Isoodon auratus,Golden bandicoot,Mammalia,Peramelemorphia,333,285
Spermophilus parryi,Arctic ground squirrel,Mammalia,Rodentia,630,817
Bassariscus astutus,Ring-tailed cat,Mammalia,Carnivora,752,472
Potorous tridactylus,Long-nosed potoroo,Mammalia,Diprotodontia,825,517
Vulpes cana,Blanford's fox,Mammalia,Carnivora,972,642
Petauroides volans,Greater glider,Mammalia,Diprotodontia,995,520
Pseudocheirus peregrinus,Ring-tail possum,Mammalia,Diprotodontia,1000,615
Bettongia penicillata,Short-nosed rat kangaroo,Mammalia,Diprotodontia,1100,593
Isoodon obesulus,Short-nosed brown bandicoot,Mammalia,Peramelemorphia,1230,644
Vulpes macrotis,Kit fox,Mammalia,Carnivora,1480,1180
Lepus californicus,Black-tailed jackrabbit,Mammalia,Lagomorpha,1800,1300
Setonix brachyurus,Quokka,Mammalia,Diprotodontia,1900,548
Vulpes velox,Swift fox,Mammalia,Carnivora,2100,1780
Aepyrpimnus rufescens,Rufous rat kangaroo,Mammalia,Diprotodontia,2860,1430
Tachyglosssus aculeatus,Echidna,Mammalia,Monotremata,2860,875
Marmota flaviventris,Yellow-bellied marmot,Mammalia,Rodentia,3190,2430
Bradypus variegatus,Three-toed sloth,Mammalia,Pilosa,4150,545
Macropus eugenii,Tammar wallaby,Mammalia,Diprotodontia,4380,1150
Thylogale billiardieri,Red-bellied wallaby,Mammalia,Diprotodontia,5980,1630
Aloutta palliata,Mantled howler monkey,Mammalia,Primates,7330,2580
Phascolarctos cinereus,Koala,Mammalia,Diprotodontia,7520,1710
Proteles cristatus,Aardwolf,Mammalia,Carnivora,8540,1850
Petrogale xanthopus,Rock wallaby,Mammalia,Diprotodontia,8900,2210
Lyacon pictus,African wild dog,Mammalia,Carnivora,25170,15300
Arctocephalus gazella,Antarctic fur seal,Mammalia,Carnivora,34600,23000
Canis lupus,Timber wolf,Mammalia,Carnivora,37300,17700
Arctocephalus galapagoensis,Galapagos fur seal,Mammalia,Carnivora,37400,4780
Odocoileus hemionus,Mule deer,Mammalia,Artiodactyla,39100,18000
Antidorcas marsupialis,Springbok,Mammalia,Artiodactyla,43300,24100
