trait.name,T,trait,ref,trait2,trait2.name
pEA,22,0.90812,Westbrook_Thesis_2010,NA,NA
pEA,27,0.9359,Westbrook_Thesis_2010,NA,NA
pEA,32,0.81944,Westbrook_Thesis_2010,NA,NA
MDR,22,0.09174,Westbrook_Thesis_2010,NA,NA
MDR,27,0.13587,Westbrook_Thesis_2010,NA,NA
MDR,32,0.15823,Westbrook_Thesis_2010,NA,NA
MDR,21,0.06161,Couret_et_al_2007_PLOS,NA,NA
MDR,24,0.07599,Couret_et_al_2007_PLOS,NA,NA
MDR,27,0.08688,Couret_et_al_2007_PLOS,NA,NA
MDR,30,0.10081,Couret_et_al_2007_PLOS,NA,NA
PDR,22,0.04,Focks_Barrera_2006_Research&TrainingTropicalDis_Geneva_Paper,NA,NA
PDR,24,0.05,Focks_Barrera_2006_Research&TrainingTropicalDis_Geneva_Paper,NA,NA
PDR,26,0.07,Focks_Barrera_2006_Research&TrainingTropicalDis_Geneva_Paper,NA,NA
PDR,28,0.08,Focks_Barrera_2006_Research&TrainingTropicalDis_Geneva_Paper,NA,NA
PDR,30,0.1,Focks_Barrera_2006_Research&TrainingTropicalDis_Geneva_Paper,NA,NA
PDR,32,0.12,Focks_Barrera_2006_Research&TrainingTropicalDis_Geneva_Paper,NA,NA
MDR,15,0.01807,Rueda_et_al_1990_EntSocAm,NA,NA
MDR,20,0.08045,Rueda_et_al_1990_EntSocAm,NA,NA
MDR,27,0.08532,Rueda_et_al_1990_EntSocAm,NA,NA
MDR,25,0.15723,Rueda_et_al_1990_EntSocAm,NA,NA
MDR,30,0.14577,Rueda_et_al_1990_EntSocAm,NA,NA
MDR,34,0.1626,Rueda_et_al_1990_EntSocAm,NA,NA
pEA,15,0.0311,Rueda_et_al_1990_EntSocAm,NA,NA
pEA,20,0.918,Rueda_et_al_1990_EntSocAm,NA,NA
pEA,25,0.6258,Rueda_et_al_1990_EntSocAm,NA,NA
pEA,27,0.8976,Rueda_et_al_1990_EntSocAm,NA,NA
pEA,30,0.6634,Rueda_et_al_1990_EntSocAm,NA,NA
pEA,34,0.5914,Rueda_et_al_1990_EntSocAm,NA,NA
MDR,15,0.02519,Tun-Lin_et_al_2000_MedVetEnto,NA,NA
MDR,20,0.07299,Tun-Lin_et_al_2000_MedVetEnto,NA,NA
MDR,25,0.10309,Tun-Lin_et_al_2000_MedVetEnto,NA,NA
MDR,30,0.11905,Tun-Lin_et_al_2000_MedVetEnto,NA,NA
MDR,35,0.13889,Tun-Lin_et_al_2000_MedVetEnto,NA,NA
pEA,10,0,Tun-Lin_et_al_2000_MedVetEnto,NA,NA
pEA,15,0.235,Tun-Lin_et_al_2000_MedVetEnto,NA,NA
pEA,20,0.9,Tun-Lin_et_al_2000_MedVetEnto,NA,NA
pEA,25,0.88,Tun-Lin_et_al_2000_MedVetEnto,NA,NA
pEA,27,0.93,Tun-Lin_et_al_2000_MedVetEnto,NA,NA
pEA,30,0.88,Tun-Lin_et_al_2000_MedVetEnto,NA,NA
pEA,35,0.67,Tun-Lin_et_al_2000_MedVetEnto,NA,NA
pEA,40,0,Tun-Lin_et_al_2000_MedVetEnto,NA,NA
MDR,20,0.00104,Kamimura_et_al_2002_JapanSocMedEnt&Zoo,Karachi,Strain
MDR,25,0.09634,Kamimura_et_al_2002_JapanSocMedEnt&Zoo,Karachi,Strain
MDR,30,0.1218,Kamimura_et_al_2002_JapanSocMedEnt&Zoo,Karachi,Strain
MDR,20,0.06215,Kamimura_et_al_2002_JapanSocMedEnt&Zoo,Surabaya,Strain
MDR,25,0.09285,Kamimura_et_al_2002_JapanSocMedEnt&Zoo,Surabaya,Strain
MDR,30,0.12804,Kamimura_et_al_2002_JapanSocMedEnt&Zoo,Surabaya,Strain
MDR,20,0.06427,Kamimura_et_al_2002_JapanSocMedEnt&Zoo,Timor,Strain
MDR,25,0.08467,Kamimura_et_al_2002_JapanSocMedEnt&Zoo,Timor,Strain
MDR,30,0.13333,Kamimura_et_al_2002_JapanSocMedEnt&Zoo,Timor,Strain
pEA,20,0.56,Kamimura_et_al_2002_JapanSocMedEnt&Zoo,Karachi,Strain
pEA,25,0.92,Kamimura_et_al_2002_JapanSocMedEnt&Zoo,Karachi,Strain
pEA,30,0.94,Kamimura_et_al_2002_JapanSocMedEnt&Zoo,Karachi,Strain
pEA,20,0.54,Kamimura_et_al_2002_JapanSocMedEnt&Zoo,Surabaya,Strain
pEA,25,0.82,Kamimura_et_al_2002_JapanSocMedEnt&Zoo,Surabaya,Strain
pEA,30,0.86,Kamimura_et_al_2002_JapanSocMedEnt&Zoo,Surabaya,Strain
pEA,20,0.7,Kamimura_et_al_2002_JapanSocMedEnt&Zoo,Timor,Strain
pEA,25,0.86,Kamimura_et_al_2002_JapanSocMedEnt&Zoo,Timor,Strain
pEA,30,1,Kamimura_et_al_2002_JapanSocMedEnt&Zoo,Timor,Strain
mu,10.82372552,0.091759667,Yang_et_al_2008_EpidInfect,NA,NA
mu,10.60066603,0.075675353,Yang_et_al_2008_EpidInfect,NA,NA
mu,15.3309921,0.035920552,Yang_et_al_2008_EpidInfect,NA,NA
mu,16.55244216,0.032425471,Yang_et_al_2008_EpidInfect,NA,NA
mu,20.04602109,0.042145005,Yang_et_al_2008_EpidInfect,NA,NA
mu,21.77042116,0.037210774,Yang_et_al_2008_EpidInfect,NA,NA
mu,25.61629688,0.030438368,Yang_et_al_2008_EpidInfect,NA,NA
mu,27.62920948,0.027156001,Yang_et_al_2008_EpidInfect,NA,NA
mu,31.34186139,0.044093837,Yang_et_al_2008_EpidInfect,NA,NA
mu,31.66115353,0.034199563,Yang_et_al_2008_EpidInfect,NA,NA
mu,32.56507293,0.044516297,Yang_et_al_2008_EpidInfect,NA,NA
mu,33.39482457,0.049883965,Yang_et_al_2008_EpidInfect,NA,NA
EIP,12.7926332,32.08600286,Focks_et_al_1995_AJTMH,NA,NA
EIP,13.0444544,25.01977202,Focks_et_al_1995_AJTMH,NA,NA
EIP,23.75322701,19.97458055,Focks_et_al_1995_AJTMH,NA,NA
EIP,23.89829743,13.33765053,Focks_et_al_1995_AJTMH,NA,NA
EIP,23.95725071,10.19770814,Focks_et_al_1995_AJTMH,NA,NA
EIP,30.04481175,12.0545853,Focks_et_al_1995_AJTMH,NA,NA
EIP,28.946104,4.932424425,Focks_et_al_1995_AJTMH,NA,NA
EIP,31.93480856,6.96737072,Focks_et_al_1995_AJTMH,NA,NA
EIP,34.37511156,4.941796485,Focks_et_al_1995_AJTMH,NA,NA
EIP,34.95802345,4.792448176,Focks_et_al_1995_AJTMH,NA,NA
EIP,30,25,Watts_et_al_1987_AJTMH,NA,NA
EIP,32,7,Watts_et_al_1987_AJTMH,NA,NA
EIP,35,7,Watts_et_al_1987_AJTMH,NA,NA
EIP,30,12,Watts_et_al_1987_AJTMH,NA,NA
EIP,32.22,6,McLean_et_al_1974_CanJMicobiol,NA,NA
EIP,26.67,13,McLean_et_al_1974_CanJMicobiol,NA,NA
EIP,12.78,35,McLean_et_al_1974_CanJMicobiol,NA,NA
EIP,35,5.5,McLean_et_al_1974_CanJMicobiol,NA,NA
EIP,32.22,6,McLean_et_al_1974_CanJMicobiol,NA,NA
EIP,23.89,6,McLean_et_al_1974_CanJMicobiol,NA,NA
EIP,12.78,13,McLean_et_al_1974_CanJMicobiol,NA,NA
EIP,13,32,McLeah_et_al_1975_MosquitoNews,NA,NA
EIP,21,32,McLeah_et_al_1975_MosquitoNews,NA,NA
PDR,23.4,0.09091,Davis_1932_AmJEpidemiology,NA,NA
PDR,36,0.2,Davis_1932_AmJEpidemiology,NA,NA
PDR,8,0,Davis_1932_AmJEpidemiology,NA,NA
PDR,36,0.2,Davis_1932_AmJEpidemiology,NA,NA
PDR,31,0.16667,Davis_1932_AmJEpidemiology,NA,NA
PDR,21,0.05556,Davis_1932_AmJEpidemiology,NA,NA
MDR,12,0,Eisen_et_al_2014,NA,NA
MDR,39,0,Eisen_et_al_2014,NA,NA
1/mu,18,21.9,Beserra_2009,NA,NA
1/mu,22,27.52,Beserra_2009,NA,NA
1/mu,26,25.46,Beserra_2009,NA,NA
1/mu,28,13.81,Beserra_2009,NA,NA
1/mu,32,13.44,Beserra_2009,NA,NA
1/mu,34,13.48,Beserra_2009,NA,NA
1/mu,18,15.71,Beserra_2009,NA,NA
1/mu,22,27.3,Beserra_2009,NA,NA
1/mu,26,40.54,Beserra_2009,NA,NA
1/mu,28,21.44,Beserra_2009,NA,NA
1/mu,32,16.76,Beserra_2009,NA,NA
1/mu,34,12.16,Beserra_2009,NA,NA
1/mu,18,22.67,Beserra_2009,NA,NA
1/mu,22,24.74,Beserra_2009,NA,NA
1/mu,26,38.36,Beserra_2009,NA,NA
1/mu,28,22.36,Beserra_2009,NA,NA
