Date,CupID,Herbivore_Common,Herbivore_Scientific,Food_Type,Trial_Time_Days,Plant_PreMass_g,Plant_PostMass_g,Correction_Factor,Temperature,Consumption,PctLoss,Comments
7/14/12,1,Japanese Beetles,Popillia japonica,Platanus occidentalis,1,0.716,0.46,0.0517,25,0.3077,0.429748603,No damage/All dessication
7/14/12,1,Japanese Beetles,Popillia japonica,Acer negundo,1,0.566,0.366,0.054524,25,0.254524,0.449689046,Some damage
7/14/12,1,Japanese Beetles,Popillia japonica,Rubus phoenicolasius,1,0.305,0.189,0.018,25,0.134,0.439344262,Little to no damage/Lots of dessication
7/14/12,1,Japanese Beetles,Popillia japonica,Rosa multiflora,1,0.287,0.148,0.030048,25,0.169048,0.589017422,Little damage/Lots of dessication
7/14/12,1,Japanese Beetles,Popillia japonica,Rubus allegheniensis,1,0.765,0.71,0.062965,25,0.117965,0.154202614,Little to no damage
7/14/12,1,Japanese Beetles,Popillia japonica,Liquidambar styraciflua,1,0.614,0.291,0,25,0.323,0.526058632,Lots of damage/Lots of dessication
7/14/12,1,Japanese Beetles,Popillia japonica,Acer rubrum,1,0.673,0.442,0.028361,25,0.259361,0.385380386,No damage/Some dessication
7/14/12,1,Japanese Beetles,Popillia japonica,Viburnum prunifolium,1,0.946,0.841,0.040732,25,0.145732,0.15405074,Little damage
7/14/12,1,Japanese Beetles,Popillia japonica,Vitis vulpina,1,0.242,0.23,0.001438,25,0.013438,0.055528926,Little to no damage
7/14/12,2,Japanese Beetles,Popillia japonica,Platanus occidentalis,1,0.71,0.449,0.05125,33,0.31225,0.439788732,Tons of damage
7/14/12,2,Japanese Beetles,Popillia japonica,Acer negundo,1,0.555,0.55,0.05327,33,0.05827,0.104990991,Little damage
7/14/12,2,Japanese Beetles,Popillia japonica,Rubus phoenicolasius,1,0.278,0.268,0.018,33,0.028,0.100719424,No damage
7/14/12,2,Japanese Beetles,Popillia japonica,Rosa multiflora,1,0.264,0.268,0.027656,33,0.023656,0.089606061,Little to no damage
7/14/12,2,Japanese Beetles,Popillia japonica,Rubus allegheniensis,1,0.857,0.894,0.070417,33,0.033417,0.038992999,Little to no damage
7/14/12,2,Japanese Beetles,Popillia japonica,Liquidambar styraciflua,1,0.977,0.919,0,33,0.058,0.059365404,No damage
7/14/12,2,Japanese Beetles,Popillia japonica,Acer rubrum,1,0.718,0.706,0.030926,33,0.042926,0.059785515,No damage
7/14/12,2,Japanese Beetles,Popillia japonica,Viburnum prunifolium,1,0.854,0.765,0.036868,33,0.125868,0.147386417,Some damage
7/14/12,2,Japanese Beetles,Popillia japonica,Vitis vulpina,1,0.3,0.319,0.0037,33,-0.0153,-0.051,No damage
7/16/12,1,Japanese Beetles,Popillia japonica,Platanus occidentalis,1,1.765,1.666,0.130375,25,0.229375,0.129957507,Some damage
7/16/12,1,Japanese Beetles,Popillia japonica,Acer negundo,1,0.625,0.657,0.06125,25,0.02925,0.0468,Some damage
7/16/12,1,Japanese Beetles,Popillia japonica,Rubus phoenicolasius,1,0.302,0.24,0.018,25,0.08,0.264900662,Some damage/maybe dessication?
7/16/12,1,Japanese Beetles,Popillia japonica,Rosa multiflora,1,0.337,0.202,0.035248,25,0.170248,0.505186944,Some damage/dessication
7/16/12,1,Japanese Beetles,Popillia japonica,Rubus allegheniensis,1,0.502,0.478,0.041662,25,0.065662,0.130800797,Damage?
7/16/12,1,Japanese Beetles,Popillia japonica,Liquidambar styraciflua,1,0.863,0.396,0,25,0.467,0.541135574,Lots of damage/Lots of dessication
7/16/12,1,Japanese Beetles,Popillia japonica,Acer rubrum,1,0.614,0.43,0.024998,25,0.208998,0.340387622,Some damage
7/16/12,1,Japanese Beetles,Popillia japonica,Viburnum prunifolium,1,0.236,0.239,0.010912,25,0.007912,0.033525424,Little to no damage
7/16/12,1,Japanese Beetles,Popillia japonica,Vitis vulpina,1,0.958,0.655,0.029362,25,0.332362,0.346933194,Lots of damage
7/16/12,2,Japanese Beetles,Popillia japonica,Platanus occidentalis,1,1.506,1.528,0.11095,33,0.08895,0.059063745,No damage
7/16/12,2,Japanese Beetles,Popillia japonica,Acer negundo,1,0.668,0.605,0.066152,33,0.129152,0.193341317,Some damage
7/16/12,2,Japanese Beetles,Popillia japonica,Rubus phoenicolasius,1,0.356,0.277,0.018,33,0.097,0.27247191,Lots of damage
7/16/12,2,Japanese Beetles,Popillia japonica,Rosa multiflora,1,0.378,0.16,0.039512,33,0.257512,0.681248677,Almost gone
7/16/12,2,Japanese Beetles,Popillia japonica,Rubus allegheniensis,1,0.507,0.506,0.042067,33,0.043067,0.084944773,Little to no damage
7/16/12,2,Japanese Beetles,Popillia japonica,Liquidambar styraciflua,1,0.811,0.737,0,33,0.074,0.091245376,No damage
7/16/12,2,Japanese Beetles,Popillia japonica,Acer rubrum,1,0.61,0.598,0.02477,33,0.03677,0.060278689,No damage
