"","EXP","TEMP","DAY","ISOLATE","PLATE","WELL","OD","NC_AVG","OD_SUB"
"1",2,5,1,"LB_AB","P.16",1,0.12,0.1195,0.0005
"2",2,5,1,"LB_AB","P.16",2,0.12,0.1195,0.0005
"3",2,5,1,"LB_AB","P.16",3,0.122,0.1195,0.0025
"4",2,5,1,"LB_AB","P.16",4,0.123,0.1195,0.0035
"5",2,5,1,"LB_AB","P.16",5,0.125,0.1195,0.0055
"6",2,5,1,"LB_AB","P.16",6,0.125,0.1195,0.0055
"7",2,5,1,"LB_AB","P.16",7,0.128,0.1195,0.0085
"8",2,5,1,"LB_AB","P.16",8,0.146,0.1195,0.0265
"9",2,5,1,"LB_AB","P.17",1,0.128,0.118125,0.009875
"10",2,5,1,"LB_AB","P.17",2,0.13,0.118125,0.011875
"11",2,5,1,"LB_AB","P.17",3,0.13,0.118125,0.011875
"12",2,5,1,"LB_AB","P.17",4,0.131,0.118125,0.012875
"13",2,5,1,"LB_AB","P.17",5,0.133,0.118125,0.014875
"14",2,5,1,"LB_AB","P.17",6,0.134,0.118125,0.015875
"15",2,5,1,"LB_AB","P.17",7,0.135,0.118125,0.016875
"16",2,5,1,"LB_AB","P.17",8,0.136,0.118125,0.017875
"17",2,5,1,"LB_AB","P.18",1,0.122,0.11275,0.00925
"18",2,5,1,"LB_AB","P.18",2,0.124,0.11275,0.01125
"19",2,5,1,"LB_AB","P.18",3,0.129,0.11275,0.01625
"20",2,5,1,"LB_AB","P.18",4,0.131,0.11275,0.01825
"21",2,5,1,"LB_AB","P.18",5,0.132,0.11275,0.01925
"22",2,5,1,"LB_AB","P.18",6,0.132,0.11275,0.01925
"23",2,5,1,"LB_AB","P.18",7,0.133,0.11275,0.02025
"24",2,5,1,"LB_AB","P.18",8,0.151,0.11275,0.03825
"25",2,5,1,"LB_AB","P.19",1,0.107,0.109625,-0.002625
"26",2,5,1,"LB_AB","P.19",2,0.108,0.109625,-0.001625
"27",2,5,1,"LB_AB","P.19",3,0.111,0.109625,0.001375
"28",2,5,1,"LB_AB","P.19",4,0.111,0.109625,0.001375
"29",2,5,1,"LB_AB","P.19",5,0.112,0.109625,0.002375
"30",2,5,1,"LB_AB","P.19",6,0.118,0.109625,0.008375
"31",2,5,1,"LB_AB","P.19",7,0.119,0.109625,0.009375
"32",2,5,1,"LB_AB","P.19",8,0.12,0.109625,0.010375
"33",2,5,1,"LB_AB","P.20",1,0.103,0.1035,-0.0005
"34",2,5,1,"LB_AB","P.20",2,0.105,0.1035,0.0015
"35",2,5,1,"LB_AB","P.20",3,0.105,0.1035,0.0015
"36",2,5,1,"LB_AB","P.20",4,0.105,0.1035,0.0015
"37",2,5,1,"LB_AB","P.20",5,0.107,0.1035,0.0035
