title,taxon,sample_start_date,sample_start_time,sample_end_date,sample_end_time,value,sample_location_info,sample_lat_DD,sample_long_DD,sample_info,sample_name,sample_sex,location_description,location_environment,study_lat_DD,study_long_DD,spatial_accuracy,location_extent,geo_datum,species_id_method,study_design,sampling_strategy,sampling_method,sampling_protocol,measurement_unit,study_collection_area,value_transform
Manatee County Monitoring Anopheles quadrimaculatus,Anopheles quadrimaculatus,2012-03-21,,2012-03-22,,2,Mullins,27.439449,-82.548928,adult,,female,Manatee County,,,,,,,SPECIES_MORPHO,,,"LIGHT,CO2",CDC_LIGHT,individuals,,
Manatee County Monitoring Anopheles quadrimaculatus,Anopheles quadrimaculatus,2012-03-21,,2012-03-22,,4,Buffalo Creek Ball Park,27.578355,-82.483695,adult,,female,Manatee County,,,,,,,SPECIES_MORPHO,,,"LIGHT,CO2",CDC_LIGHT,individuals,,
Manatee County Monitoring Anopheles quadrimaculatus,Anopheles quadrimaculatus,2012-03-28,,2012-03-29,,3,Braden River Park,27.44893,-82.498664,adult,,female,Manatee County,,,,,,,SPECIES_MORPHO,,,"LIGHT,CO2",CDC_LIGHT,individuals,,
Manatee County Monitoring Anopheles quadrimaculatus,Anopheles quadrimaculatus,2012-04-12,,2012-04-13,,1,Braden River Park,27.44893,-82.498664,adult,,female,Manatee County,,,,,,,SPECIES_MORPHO,,,"LIGHT,CO2",CDC_LIGHT,individuals,,
Manatee County Monitoring Anopheles quadrimaculatus,Anopheles quadrimaculatus,2012-04-12,,2012-04-13,,2,Buffalo Creek Ball Park,27.578355,-82.483695,adult,,female,Manatee County,,,,,,,SPECIES_MORPHO,,,"LIGHT,CO2",CDC_LIGHT,individuals,,
Manatee County Monitoring Anopheles quadrimaculatus,Anopheles quadrimaculatus,2012-05-07,,2012-05-08,,148,Port,27.640483,-82.552667,adult,,female,Manatee County,,,,,,,SPECIES_MORPHO,,,"LIGHT,CO2",CDC_LIGHT,individuals,,
Manatee County Monitoring Anopheles quadrimaculatus,Anopheles quadrimaculatus,2012-05-07,,2012-05-08,,10,Fielding,27.529167,-82.588117,adult,,female,Manatee County,,,,,,,SPECIES_MORPHO,,,"LIGHT,CO2",CDC_LIGHT,individuals,,
Manatee County Monitoring Anopheles quadrimaculatus,Anopheles quadrimaculatus,2012-05-07,,2012-05-08,,1,Carrs,27.554018,-82.545481,adult,,female,Manatee County,,,,,,,SPECIES_MORPHO,,,"LIGHT,CO2",CDC_LIGHT,individuals,,
Manatee County Monitoring Anopheles quadrimaculatus,Anopheles quadrimaculatus,2012-05-07,,2012-05-08,,1,Braden River Park,27.44893,-82.498664,adult,,female,Manatee County,,,,,,,SPECIES_MORPHO,,,"LIGHT,CO2",CDC_LIGHT,individuals,,
Manatee County Monitoring Anopheles quadrimaculatus,Anopheles quadrimaculatus,2012-05-15,,2012-05-16,,6,Buffalo Creek Ball Park,27.578355,-82.483695,adult,,female,Manatee County,,,,,,,SPECIES_MORPHO,,,"LIGHT,CO2",CDC_LIGHT,individuals,,
Manatee County Monitoring Anopheles quadrimaculatus,Anopheles quadrimaculatus,2012-05-21,,2012-05-22,,2,Highland Shores,27.516317,-82.537735,adult,,female,Manatee County,,,,,,,SPECIES_MORPHO,,,"LIGHT,CO2",CDC_LIGHT,individuals,,
Manatee County Monitoring Anopheles quadrimaculatus,Anopheles quadrimaculatus,2012-05-21,,2012-05-22,,2,Orbans,27.50312,-82.65739,adult,,female,Manatee County,,,,,,,SPECIES_MORPHO,,,"LIGHT,CO2",CDC_LIGHT,individuals,,
Manatee County Monitoring Anopheles quadrimaculatus,Anopheles quadrimaculatus,2012-05-21,,2012-05-22,,3,Buffalo Creek Ball Park,27.578355,-82.483695,adult,,female,Manatee County,,,,,,,SPECIES_MORPHO,,,"LIGHT,CO2",CDC_LIGHT,individuals,,
Manatee County Monitoring Anopheles quadrimaculatus,Anopheles quadrimaculatus,2012-05-22,,2012-05-23,,11,Port,27.640483,-82.552667,adult,,female,Manatee County,,,,,,,SPECIES_MORPHO,,,"LIGHT,CO2",CDC_LIGHT,individuals,,
Manatee County Monitoring Anopheles quadrimaculatus,Anopheles quadrimaculatus,2012-05-29,,2012-05-30,,1,Fielding,27.529167,-82.588117,adult,,female,Manatee County,,,,,,,SPECIES_MORPHO,,,"LIGHT,CO2",CDC_LIGHT,individuals,,
Manatee County Monitoring Anopheles quadrimaculatus,Anopheles quadrimaculatus,2012-05-29,,2012-05-30,,2,Highland Shores,27.516317,-82.537735,adult,,female,Manatee County,,,,,,,SPECIES_MORPHO,,,"LIGHT,CO2",CDC_LIGHT,individuals,,
Manatee County Monitoring Anopheles quadrimaculatus,Anopheles quadrimaculatus,2012-05-29,,2012-05-30,,1,Palmetto shop,27.533281,-82.565712,adult,,female,Manatee County,,,,,,,SPECIES_MORPHO,,,"LIGHT,CO2",CDC_LIGHT,individuals,,
Manatee County Monitoring Anopheles quadrimaculatus,Anopheles quadrimaculatus,2012-05-29,,2012-05-30,,5,Orbans,27.50312,-82.65739,adult,,female,Manatee County,,,,,,,SPECIES_MORPHO,,,"LIGHT,CO2",CDC_LIGHT,individuals,,
Manatee County Monitoring Anopheles quadrimaculatus,Anopheles quadrimaculatus,2012-05-29,,2012-05-30,,1,Mote Ranch,27.4197,-82.47982,adult,,female,Manatee County,,,,,,,SPECIES_MORPHO,,,"LIGHT,CO2",CDC_LIGHT,individuals,,
Manatee County Monitoring Anopheles quadrimaculatus,Anopheles quadrimaculatus,2012-05-29,,2012-05-30,,1,Tallevast,27.4266,-82.52471,adult,,female,Manatee County,,,,,,,SPECIES_MORPHO,,,"LIGHT,CO2",CDC_LIGHT,individuals,,
Manatee County Monitoring Anopheles quadrimaculatus,Anopheles quadrimaculatus,2012-05-29,,2012-05-30,,1,Lakewood Ranch,27.419517,-82.4262,adult,,female,Manatee County,,,,,,,SPECIES_MORPHO,,,"LIGHT,CO2",CDC_LIGHT,individuals,,
Manatee County Monitoring Anopheles quadrimaculatus,Anopheles quadrimaculatus,2012-05-29,,2012-05-30,,2,Braden Pines,27.43889,-82.43865,adult,,female,Manatee County,,,,,,,SPECIES_MORPHO,,,"LIGHT,CO2",CDC_LIGHT,individuals,,
Manatee County Monitoring Anopheles quadrimaculatus,Anopheles quadrimaculatus,2012-05-29,,2012-05-30,,1,Myakka,27.349733,-82.157581,adult,,female,Manatee County,,,,,,,SPECIES_MORPHO,,,"LIGHT,CO2",CDC_LIGHT,individuals,,
Manatee County Monitoring Anopheles quadrimaculatus,Anopheles quadrimaculatus,2012-05-29,,2012-05-30,,1,Keentown,27.570935,-82.137841,adult,,female,Manatee County,,,,,,,SPECIES_MORPHO,,,"LIGHT,CO2",CDC_LIGHT,individuals,,
Manatee County Monitoring Anopheles quadrimaculatus,Anopheles quadrimaculatus,2012-05-29,,2012-05-30,,2,Palmetto Ball Park,27.531,-82.58235,adult,,female,Manatee County,,,,,,,SPECIES_MORPHO,,,"LIGHT,CO2",CDC_LIGHT,individuals,,
Manatee County Monitoring Anopheles quadrimaculatus,Anopheles quadrimaculatus,2012-05-29,,2012-05-30,,3,Braden River Park,27.44893,-82.498664,adult,,female,Manatee County,,,,,,,SPECIES_MORPHO,,,"LIGHT,CO2",CDC_LIGHT,individuals,,
Manatee County Monitoring Anopheles quadrimaculatus,Anopheles quadrimaculatus,2012-05-29,,2012-05-30,,2,Buffalo Creek Ball Park,27.578355,-82.483695,adult,,female,Manatee County,,,,,,,SPECIES_MORPHO,,,"LIGHT,CO2",CDC_LIGHT,individuals,,
Manatee County Monitoring Anopheles quadrimaculatus,Anopheles quadrimaculatus,2012-06-04,,2012-06-05,,21,Chapman Rd.,27.616367,-82.5353,adult,,female,Manatee County,,,,,,,SPECIES_MORPHO,,,"LIGHT,CO2",CDC_LIGHT,individuals,,
Manatee County Monitoring Anopheles quadrimaculatus,Anopheles quadrimaculatus,2012-06-04,,2012-06-05,,9,Port,27.640483,-82.552667,adult,,female,Manatee County,,,,,,,SPECIES_MORPHO,,,"LIGHT,CO2",CDC_LIGHT,individuals,,
Manatee County Monitoring Anopheles quadrimaculatus,Anopheles quadrimaculatus,2012-06-04,,2012-06-05,,1,Carrs,27.554018,-82.545481,adult,,female,Manatee County,,,,,,,SPECIES_MORPHO,,,"LIGHT,CO2",CDC_LIGHT,individuals,,
Manatee County Monitoring Anopheles quadrimaculatus,Anopheles quadrimaculatus,2012-06-04,,2012-06-05,,2,Orbans,27.50312,-82.65739,adult,,female,Manatee County,,,,,,,SPECIES_MORPHO,,,"LIGHT,CO2",CDC_LIGHT,individuals,,
