Year ,Month,TimePt,NZS,NZN,NC,PNG
1951,Jan,1,13.4,19.7,26.4,27.9
1951,Feb,2,14.1,19.4,26.5,27.1
1951,Mar,3,14.4,19.3,24.9,26.6
1951,Apr,4,11.4,16.9,23.3,26.3
1951,May,5,7.1,13.2,20.8,25.7
1951,Jun,6,4.8,10.8,20.1,25.8
1951,Jul,7,5.7,11.4,19.3,26.1
1951,Aug,8,5.9,10.8,19.6,25.8
1951,Sep,9,8.6,13,20.2,27.1
1951,Oct,10,10.7,14.7,22.2,27.4
1951,Nov,11,12.1,16.2,24.8,26.8
1951,Dec,12,11.85,16.7,25.9,28
1952,Jan,13,11.6,17.9,26.3,27.5
1952,Feb,14,13,20.7,26,27.8
1952,Mar,15,12.1,18.1,26.1,27.4
1952,Apr,16,11.1,16.4,24.8,27.3
1952,May,17,7.3,13.8,23.1,26.7
1952,Jun,18,4.9,12.6,20.7,26.9
1952,Jul,19,5.3,10.3,20,25.5
1952,Aug,20,6.6,12.3,20.2,26.1
1952,Sep,21,8.5,13.1,20.9,26.7
1952,Oct,22,10.5,15,23.5,27.5
1952,Nov,23,11.4,16.1,26.1,27.6
1952,Dec,24,13.9,17.8,25.8,27.6
1953,Jan,25,14.1,18.5,25.8,27.5
1953,Feb,26,13.5,18.7,26.4,27.2
1953,Mar,27,12.7,18.9,25,27.9
1953,Apr,28,10.8,16.6,23.4,26.8
1953,May,29,8.5,14.7,22.5,25.2
1953,Jun,30,4.9,12.9,20.2,25.9
1953,Jul,31,5.6,11.1,18.4,25.7
1953,Aug,32,7.1,12.1,20.7,25.7
1953,Sep,33,8.5,13.4,21.6,26
1953,Oct,34,9.8,14.4,23.8,27.6
1953,Nov,35,12.8,16.9,25.5,28
1953,Dec,36,13.6,18.8,25.6,27.6
1954,Jan,37,13.3,20,26.4,27.3
1954,Feb,38,15.1,21.1,26.1,27.3
1954,Mar,39,14.2,19.2,25.4,27.2
1954,Apr,40,9.9,15.7,23.8,27.2
1954,May,41,9.9,14.8,22.2,26.8
1954,Jun,42,7.9,12.8,21.3,26.2
1954,Jul,43,5.1,11.6,20.5,26.2
1954,Aug,44,5.9,11.3,19.5,27
1954,Sep,45,8.1,12.4,20.9,27
1954,Oct,46,10.7,14.1,22,27.5
1954,Nov,47,14.2,17.7,23.9,27.7
1954,Dec,48,13.7,18.9,24.1,27.5
1955,Jan,49,14.7,19.9,25.6,26.8
1955,Feb,50,14.3,22.3,26.4,27.6
1955,Mar,51,12.4,20,25.7,27.2
