"season","season_week","year_week","week_start_date","weekID","monthID","year","denv1_cases","denv2_cases","denv3_cases","denv4_cases","other_positive_cases","additional_cases","total_cases","NDVI.18.45.66.14.","NDVI.18.50..66.14.","satprecip","tmin","tmax","prec","dtr","tavg","nino12","nino34","soi","pop","adjpop"
"1990/1991",1,18,"4/30/1990",199018,199004,1990,0,0,0,0,4,0,4,0.1776167,0.103725,11.08,296.4,300.7,16.64,2.385714286,298.2642857,25.22,28.93,0.3,2217968,2226511.19
"1990/1991",2,19,"5/7/1990",199019,199005,1990,0,0,0,0,5,0,5,0.1554857,0.142175,46.28,297.3,300.9,22.9,2.242857143,298.9928571,24.05,28.96,2,2217968,2227013.731
"1990/1991",3,20,"5/14/1990",199020,199005,1990,0,0,0,0,4,0,4,0.1708429,0.1729667,15.36,297,301.1,18.5,2.442857143,299.0642857,24.05,28.96,2,2217968,2227516.271
"1990/1991",4,21,"5/21/1990",199021,199005,1990,0,0,0,0,3,0,3,0.2358857,0.2450667,0,297.5,301.9,7.3,3.085714286,299.6857143,24.05,28.96,2,2217968,2228018.812
"1990/1991",5,22,"5/28/1990",199022,199005,1990,0,0,0,0,6,0,6,0.24734,0.2622,17.1,298.1,302.4,25.19,2.2,299.8714286,24.05,28.96,2,2217968,2228521.353
"1990/1991",6,23,"6/4/1990",199023,199006,1990,1,0,0,0,1,0,2,0.1817429,0.17485,3.48,297.7,301.1,44.7,1.9,299.0928571,22.68,28.94,0.5,2217968,2229023.893
"1990/1991",7,24,"6/11/1990",199024,199006,1990,0,0,0,0,4,0,4,0.2102714,0.0928,138.95,298.4,301.3,24.8,1.714285714,299.6,22.68,28.94,0.5,2217968,2229526.434
"1990/1991",8,25,"6/18/1990",199025,199006,1990,0,0,0,0,5,0,5,0.1330286,0.0725,26.5,297.7,302.1,38.91,1.785714286,299.5642857,22.68,28.94,0.5,2217968,2230028.974
"1990/1991",9,26,"6/25/1990",199026,199006,1990,2,0,0,0,8,0,10,0.1236,0.146175,19.4,298.2,302,32.3,2.014285714,300.0357143,22.68,28.94,0.5,2217968,2230531.515
"1990/1991",10,27,"7/2/1990",199027,199007,1990,0,0,0,1,5,0,6,0.2025667,0.12155,22.27,298,302.3,40.9,2.171428571,299.7714286,21,28.98,0.9,2217968,2231034.056
"1990/1991",11,28,"7/9/1990",199028,199007,1990,0,0,0,0,8,0,8,0.1529286,0.08235,56.56,297.3,301.7,43.72,2.457142857,299.5857143,21,28.98,0.9,2217968,2231536.596
"1990/1991",12,29,"7/16/1990",199029,199007,1990,0,0,0,0,2,0,2,0.2806667,0.2118,15.89,297.1,302,32.63,2.171428571,299.8714286,21,28.98,0.9,2217968,2232039.137
"1990/1991",13,30,"7/23/1990",199030,199007,1990,0,2,0,0,4,0,6,0.2145571,0.1717,35.86,298.3,302.8,44.5,2.2,299.7142857,21,28.98,0.9,2217968,2232541.677
"1990/1991",14,31,"7/30/1990",199031,199007,1990,0,1,0,1,15,0,17,0.3813571,0.24715,28.8,298.8,303,18.8,2.528571429,300.5071429,21,28.98,0.9,2217968,2233044.218
"1990/1991",15,32,"8/6/1990",199032,199008,1990,1,1,0,0,21,0,23,0.1388571,0.06433333,56.16,298.5,302.6,84.6,2.028571429,300.1571429,20.25,29.17,-0.3,2217968,2233546.759
"1990/1991",16,33,"8/13/1990",199033,199008,1990,0,1,0,1,11,0,13,0.1682429,0.1280333,66.99,298.1,302.5,38.6,2.514285714,300.3,20.25,29.17,-0.3,2217968,2234049.299
"1990/1991",17,34,"8/20/1990",199034,199008,1990,0,0,0,1,20,0,21,0.1722857,0.1688,40.94,298.7,302.1,45.6,1.742857143,300.1,20.25,29.17,-0.3,2217968,2234551.84
"1990/1991",18,35,"8/27/1990",199035,199008,1990,0,3,0,0,25,0,28,0.2843143,0.33075,18.65,298,303.8,20,3.542857143,300.8571429,20.25,29.17,-0.3,2217968,2235054.38
"1990/1991",19,36,"9/3/1990",199036,199009,1990,1,2,0,3,18,0,24,0.2304429,0.200025,74.77,298.6,302.9,34.38,2.728571429,300.6214286,20.13,29.04,-1.2,2217968,2235556.921
"1990/1991",20,37,"9/10/1990",199037,199009,1990,0,1,0,0,19,0,20,0.1482833,0.4371,143.73,298.7,302.2,35.4,1.885714286,299.9,20.13,29.04,-1.2,2217968,2236059.462
"1990/1991",21,38,"9/17/1990",199038,199009,1990,0,4,0,0,36,0,40,0.3056857,0.1824333,48.09,299.1,302.4,16.7,2.128571429,300.5642857,20.13,29.04,-1.2,2217968,2236562.002
"1990/1991",22,39,"9/24/1990",199039,199009,1990,0,1,0,1,25,0,27,0.2442167,0.2609,32.93,299.1,302.8,34.2,2.828571429,300.7571429,20.13,29.04,-1.2,2217968,2237064.543
"1990/1991",23,40,"10/1/1990",199040,199010,1990,0,3,0,4,35,0,42,0.2011857,0.18975,31.45,298.1,303.3,127.2,2.614285714,300.15,20.28,29.23,0.4,2217968,2237567.083
"1990/1991",24,41,"10/8/1990",199041,199010,1990,0,2,0,0,31,0,33,0.1577167,0.06755,152.98,297.7,301.7,250.7,1.9,299.4785714,20.28,29.23,0.4,2217968,2238069.624
"1990/1991",25,42,"10/15/1990",199042,199010,1990,0,3,0,0,40,0,43,0.16575,0.0702,133.09,297.2,300.9,130.32,1.971428571,298.9714286,20.28,29.23,0.4,2217968,2238572.165
"1990/1991",26,43,"10/22/1990",199043,199010,1990,1,2,0,1,33,0,37,0.1239286,0.08975,101.47,298.5,301.4,22.06,1.742857143,299.7,20.28,29.23,0.4,2217968,2239074.705
"1990/1991",27,44,"10/29/1990",199044,199010,1990,0,4,0,1,52,0,57,0.2959,0.1834333,8.09,298.5,302.2,11.1,2.3,300.05,20.28,29.23,0.4,2217968,2239577.246
"1990/1991",28,45,"11/5/1990",199045,199011,1990,0,1,0,3,67,0,71,0.1866286,0.181775,37.26,298.6,302.3,10.6,2.314285714,300.4285714,20.84,29.06,-0.8,2217968,2240079.786
"1990/1991",29,46,"11/12/1990",199046,199011,1990,0,0,0,1,43,0,44,0.2348857,0.2246,3.11,297,301.6,35.9,2.4,299.7285714,20.84,29.06,-0.8,2217968,2240582.327
"1990/1991",30,47,"11/19/1990",199047,199011,1990,0,0,0,0,56,0,56,0.1253833,0.33035,49.29,296.5,301.1,29.3,2.142857143,298.4428571,20.84,29.06,-0.8,2217968,2241084.868
"1990/1991",31,48,"11/26/1990",199048,199011,1990,0,0,0,3,49,1,53,0.1415857,0.216525,12.23,297.2,300.8,82.8,1.857142857,298.7285714,20.84,29.06,-0.8,2217968,2241587.408
"1990/1991",32,49,"12/3/1990",199049,199012,1990,2,2,0,1,47,0,52,0.2517,0.0886,0,296.4,300,9.7,2.771428571,298.2571429,22.45,29.14,-0.4,2217968,2242089.949
"1990/1991",33,50,"12/10/1990",199050,199012,1990,1,3,0,5,38,0,47,0.2099857,0.26166,52.45,296,300.9,32.81,3.171428571,298.3571429,22.45,29.14,-0.4,2217968,2242592.489
"1990/1991",34,51,"12/17/1990",199051,199012,1990,0,3,0,1,22,0,26,0.3027286,0.2668667,0,296.9,299.8,3.46,2.2,298.3285714,22.45,29.14,-0.4,2217968,2243095.03
"1990/1991",35,52,"12/24/1990",199052,199012,1990,0,2,0,0,25,0,27,0.1616222,0.2772333,106,294.6,299.3,65.48,2.442857143,297.25,22.45,29.14,-0.4,2217968,2243597.571
