Animal Genome Size Data:: www.genomesize.com,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Data downloaded under intellectual property agreement on Tuesday 06th of November 2012 02:10:15 AM by David Orme, d.orme@imperial.ac.uk",,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Phylum,Sub Phylum,Class,Order,Family,Species,Common Name,C-value,Chrom num,Method,Cell type,Std sp,References,References
Chordata,Vertebrata,Mammalia,Afrosoricida,Chrysochloridae,Chrysochloris asiatica,Cape golden mole,6.32,,FD,TC,"GD, MM","Redi, C.A., S. Garagna, M. Zuccotti, and E. Capanna (2007). Genome size: a novel genomic signature in support of Afrotheria. Journal of Molecular Evolution 64: 484-487.",
Chordata,Vertebrata,Mammalia,Artiodactyla,Bovidae,Addax nasomaculatus,Addax,3.98,,FCM,LK,"HS, OM","Krishan, A. P. Dandekar, N. Nathan, R. Hamelik, C. Miller, and J. Shaw (2005). DNA index, genome size, and electronic nuclear volume of vertebrates from the Miami Metro Zoo. Cytometry 65A: 26-34.",
Chordata,Vertebrata,Mammalia,Artiodactyla,Bovidae,Aepyceros melampus,Impala,4.69,,FCM,LK,"HS, OM","Krishan, A. P. Dandekar, N. Nathan, R. Hamelik, C. Miller, and J. Shaw (2005). DNA index, genome size, and electronic nuclear volume of vertebrates from the Miami Metro Zoo. Cytometry 65A: 26-34.",
Chordata,Vertebrata,Mammalia,Artiodactyla,Bovidae,Bison bison,Buffalo,4.90,60.00,BCA,S,NS,"Eapen, K.J. and M.M. Raza Nasir (1964). Deoxyribonucleic acid in hariana, buffalo and ram semen - part I. Indian Journal of Dairy Science 17: 107-108.",
Chordata,Vertebrata,Mammalia,Artiodactyla,Bovidae,Bos indicus,Hariana cattle,3.31,60.00,BCA,S,NS,"Eapen, K.J. and M.M. Raza Nasir (1964). Deoxyribonucleic acid in hariana, buffalo and ram semen - part I. Indian Journal of Dairy Science 17: 107-108.",
Chordata,Vertebrata,Mammalia,Artiodactyla,Bovidae,Bos javanicus javanicus,Banteng,3.75,,FCM,LK,"HS, OM","Krishan, A. P. Dandekar, N. Nathan, R. Hamelik, C. Miller, and J. Shaw (2005). DNA index, genome size, and electronic nuclear volume of vertebrates from the Miami Metro Zoo. Cytometry 65A: 26-34.",
Chordata,Vertebrata,Mammalia,Artiodactyla,Bovidae,Bos taurus,Domestic cattle,3.15,,UVM,S,GD,"Walker, P.M.B. and H.B. Yates (1952). Nuclear components of dividing cells. Proceedings of the Royal Society of London B 140: 274-299.",
Chordata,Vertebrata,Mammalia,Artiodactyla,Bovidae,Bos taurus,Domestic cattle,3.43,,UVM,"LK, S",HS,"Sandritter, W., D. Müller, and O. Gensecke (1960). Ultraviolettmikrospektrophotometrische Messungen des Nukleinsäuregehaltes von Spermien und diploiden Zellen. Acta Histochemica 10: 139-154.",
Chordata,Vertebrata,Mammalia,Artiodactyla,Bovidae,Bos taurus,Domestic cattle,3.57,,BCA,LK,HS,"Mandel, P., P. Métais, and S. Cuny (1951). Les quantités d'acide désoxypentose-nucléique par leucocyte chez diverses espèces de mammifères. Comptes Rendus de l'Académie des Sciences 231: 1172-1174.",
Chordata,Vertebrata,Mammalia,Artiodactyla,Bovidae,Bos taurus,Domestic cattle,3.60,,FCM,LK,HS,"Kent, M., R. Chandler, and S. Wachtel (1988). DNA analysis by flow cytometry. Cytogenetics and Cell Genetics 47: 88-89.",
Chordata,Vertebrata,Mammalia,Artiodactyla,Bovidae,Bos taurus,Domestic cattle,3.65,,FCM,LK,"HS, GD, V","Tiersch, T.R., R.W. Chandler, S.S. Wachtel, and S. Elias (1989a). Reference standards for flow cytometry and application in comparative studies of nuclear DNA content. Cytometry 10: 706-710.",
Chordata,Vertebrata,Mammalia,Artiodactyla,Bovidae,Bos taurus,Domestic cattle,3.70,60.00,FCM,SP,"HS, RT","Vinogradov, A.E. (1998a). Genome size and GC-percent in vertebrates as determined by flow cytometry: the triangular relationship. Cytometry 31: 100-109.",
Chordata,Vertebrata,Mammalia,Artiodactyla,Bovidae,Bos taurus,Domestic cattle,3.73,,BCA,"LV, TH, KC, P",HS,"Vendrely, R. and C. Vendrely (1949). La teneur du noyau cellulaire en acide désoxyribonucléique à travers les organes, les individus et les espèces animales: Etude particulière des Mammifères. Experientia 5: 327-329.",
Chordata,Vertebrata,Mammalia,Artiodactyla,Bovidae,Bos taurus,Domestic cattle,3.79,,BCA,"LV, TH, KC, P",HS,"Vendrely, R. and C. Vendrely (1948). La teneur du noyau cellulaire en acide désoxyribonucléique à travers les organes, les individus et les espèces animales: Techniques et premiers résultats. Experientia 4: 434-436.",
Chordata,Vertebrata,Mammalia,Artiodactyla,Bovidae,Bos taurus,Domestic cattle,3.93,,BCA,TH,NS,"Edström, J.-E. and J. Kawiak (1961). Microchemical deoxyribonucleic acid determination in individual cells. Journal of Biophysical and Biochemical Cytology 9: 619-626.",
Chordata,Vertebrata,Mammalia,Artiodactyla,Bovidae,Capra falconeri,Markhor,3.23,60.00,FCM,SP,"HS, RT","Vinogradov, A.E. (1998a). Genome size and GC-percent in vertebrates as determined by flow cytometry: the triangular relationship. Cytometry 31: 100-109.",
Chordata,Vertebrata,Mammalia,Artiodactyla,Bovidae,Capra hircus,Domestic goat,3.24,60.00,FD,LK,BO,"Sumner, A.T. and R.A. Buckland (1976). Relative DNA contents of somatic nuclei of ox, sheep and goat. Chromosoma 57: 171-175.",
Chordata,Vertebrata,Mammalia,Artiodactyla,Bovidae,Gazella dama ruficollis,Dama gazelle,3.48,,FCM,LK,"HS, OM","Krishan, A. P. Dandekar, N. Nathan, R. Hamelik, C. Miller, and J. Shaw (2005). DNA index, genome size, and electronic nuclear volume of vertebrates from the Miami Metro Zoo. Cytometry 65A: 26-34.",
Chordata,Vertebrata,Mammalia,Artiodactyla,Bovidae,Gazella granti,Grant's gazelle,3.30,,FCM,LK,"HS, OM","Krishan, A. P. Dandekar, N. Nathan, R. Hamelik, C. Miller, and J. Shaw (2005). DNA index, genome size, and electronic nuclear volume of vertebrates from the Miami Metro Zoo. Cytometry 65A: 26-34.",
Chordata,Vertebrata,Mammalia,Artiodactyla,Bovidae,Litocranius walleri,Gerenuk,3.66,,FCM,LK,"HS, OM","Krishan, A. P. Dandekar, N. Nathan, R. Hamelik, C. Miller, and J. Shaw (2005). DNA index, genome size, and electronic nuclear volume of vertebrates from the Miami Metro Zoo. Cytometry 65A: 26-34.",
Chordata,Vertebrata,Mammalia,Artiodactyla,Bovidae,Ovis aries,Sheep,2.34,,UVM,S,GD,"Walker, P.M.B. and H.B. Yates (1952). Nuclear components of dividing cells. Proceedings of the Royal Society of London B 140: 274-299.",
Chordata,Vertebrata,Mammalia,Artiodactyla,Bovidae,Ovis aries,Sheep,2.57,,BCA,S,NS,"Eapen, K.J. and M.M. Raza Nasir (1964). Deoxyribonucleic acid in hariana, buffalo and ram semen - part I. Indian Journal of Dairy Science 17: 107-108.",
Chordata,Vertebrata,Mammalia,Artiodactyla,Bovidae,Ovis aries,Sheep,3.30,54.00,FD,"LK, LV",BO,"Sumner, A.T. and R.A. Buckland (1976). Relative DNA contents of somatic nuclei of ox, sheep and goat. Chromosoma 57: 171-175.",
Chordata,Vertebrata,Mammalia,Artiodactyla,Bovidae,Ovis aries,Sheep,3.33,,BCA,LV,HS,"Vendrely, R. and C. Vendrely (1949). La teneur du noyau cellulaire en acide désoxyribonucléique à travers les organes, les individus et les espèces animales: Etude particulière des Mammifères. Experientia 5: 327-329.",
Chordata,Vertebrata,Mammalia,Artiodactyla,Bovidae,Ovis aries,Sheep,3.50,,BCA,LK,HS,"Mandel, P., P. Métais, and S. Cuny (1951). Les quantités d'acide désoxypentose-nucléique par leucocyte chez diverses espèces de mammifères. Comptes Rendus de l'Académie des Sciences 231: 1172-1174.",
Chordata,Vertebrata,Mammalia,Artiodactyla,Bovidae,Ovis aries aries,Sheep,3.41,,FCM,LK,"HS, OM","Krishan, A. P. Dandekar, N. Nathan, R. Hamelik, C. Miller, and J. Shaw (2005). DNA index, genome size, and electronic nuclear volume of vertebrates from the Miami Metro Zoo. Cytometry 65A: 26-34.",
Chordata,Vertebrata,Mammalia,Artiodactyla,Bovidae,Tragelaphus angasii,Lowland nyala,3.94,,FCM,LK,"HS, OM","Krishan, A. P. Dandekar, N. Nathan, R. Hamelik, C. Miller, and J. Shaw (2005). DNA index, genome size, and electronic nuclear volume of vertebrates from the Miami Metro Zoo. Cytometry 65A: 26-34.",
Chordata,Vertebrata,Mammalia,Artiodactyla,Camelidae,Camelus bactrianus,Bactrian camel,2.41,,FCM,LK,"HS, OM","Krishan, A. P. Dandekar, N. Nathan, R. Hamelik, C. Miller, and J. Shaw (2005). DNA index, genome size, and electronic nuclear volume of vertebrates from the Miami Metro Zoo. Cytometry 65A: 26-34.",
Chordata,Vertebrata,Mammalia,Artiodactyla,Camelidae,Camelus bactrianus,Two-humped camel,2.86,74.00,FD,LK,"HS, GD, MN, RN","De Stefano, G.F., S. Garagna, and C.A. Redi (1982). Genome size in some species of Camelidae. Basic and Applied Histochemistry 26 Suppl.: XCII.","Manfredi Romanini, M.G. (1985). The nuclear content of desoxyribonucleic acid and some problems of Mammalian phylogenesis. Mammalia 49: 369-385."
Chordata,Vertebrata,Mammalia,Artiodactyla,Camelidae,Camelus dromedarius,Dromedary camel,2.62,,FCM,LK,"HS, OM","Krishan, A. P. Dandekar, N. Nathan, R. Hamelik, C. Miller, and J. Shaw (2005). DNA index, genome size, and electronic nuclear volume of vertebrates from the Miami Metro Zoo. Cytometry 65A: 26-34.",
Chordata,Vertebrata,Mammalia,Artiodactyla,Camelidae,Camelus dromedarius,One-humped camel,2.97,74.00,FD,LK,"HS, GD, MN, RN","De Stefano, G.F., S. Garagna, and C.A. Redi (1982). Genome size in some species of Camelidae. Basic and Applied Histochemistry 26 Suppl.: XCII.","Manfredi Romanini, M.G. (1985). The nuclear content of desoxyribonucleic acid and some problems of Mammalian phylogenesis. Mammalia 49: 369-385."
