Suborder,Family,Species,GenomeSize,GenomeSE,GenomeN,BodyWeight,TotalLength,HeadLength,ThoraxLength,AdbdomenLength,ForewingLength,HindwingLength,ForewingArea,HindwingArea,MorphologyN
Anisoptera,Aeshnidae,Aeshna canadensis,2.2,NA,1,0.159,67.58,6.83,11.81,48.94,45.47,45.4,369.57,483.61,2
Anisoptera,Aeshnidae,Aeshna constricta,1.76,0.06,4,0.228,71.97,6.84,10.72,54.41,46,45.48,411.15,517.38,3
Anisoptera,Aeshnidae,Aeshna eremita,1.85,NA,1,0.312,78.8,6.27,16.19,56.33,51.24,49.47,460.72,574.33,1
Anisoptera,Aeshnidae,Aeshna tuberculifera,1.78,0.1,2,0.218,72.44,6.62,12.53,53.29,49.84,48.82,468.74,591.42,2
Anisoptera,Aeshnidae,Aeshna umbrosa,2,NA,1,0.207,73.05,4.92,11.11,57.03,46.51,45.97,382.48,481.44,1
Anisoptera,Aeshnidae,Aeshna verticalis,1.59,NA,1,0.22,66.25,6.48,11.64,48.13,45.91,44.91,400.4,486.97,1
Anisoptera,Aeshnidae,Anax junius,1.44,NA,1,0.344,73.91,7.53,14.24,52.14,50.45,49.63,469.87,598.43,4
Anisoptera,Aeshnidae,Basiaeschna janata,1.16,NA,1,0.128,55.09,5.74,10.56,38.79,37.35,35.9,224.23,258.94,1
Anisoptera,Aeshnidae,Epiaeschna heros,1.44,NA,1,0.392,82.39,8.05,12.99,61.35,55.99,54.59,527.92,632.77,1
Anisoptera,Aeshnidae,Gomphaeschna furcillata,1.2,NA,1,0.029,52.22,5.28,9.12,37.82,33.55,32.02,194.5,226.06,1
Anisoptera,Aeshnidae,Nasiaeschna pentacantha,1.31,NA,1,0.263,73.61,6.62,12.22,54.77,50.18,50.17,447.13,511.97,1
Anisoptera,Cordulegastridae,Cordulegaster maculata,0.94,NA,1,0.194,68.3,4.99,13.75,49.55,41.63,39.96,277.29,325.11,1
Anisoptera,Corduliidae,Cordulia shurtleffi,1.54,NA,1,0.07,43.68,5.21,9.89,28.58,29.52,28.11,159.05,188.18,1
Anisoptera,Corduliidae,Dorocordulia libera,0.98,0.03,3,0.046,38.46,3.62,7.59,27.25,27.98,27.43,152.04,193.53,4
Anisoptera,Corduliidae,Epitheca canis,1,0.02,3,0.068,42.44,4.46,9.32,28.66,29.43,28.58,169.09,210.37,2
Anisoptera,Corduliidae,Epitheca cynosura,1.1,0.06,4,0.055,38.28,4.95,7.69,25.64,28.27,27.17,159.53,197.1,4
Anisoptera,Corduliidae,Epitheca princeps,0.98,NA,1,0.155,57.94,5.1,12.14,40.7,43.87,42.22,329.21,409.38,1
Anisoptera,Corduliidae,Epitheca spinigera,1.32,NA,1,0.071,41.19,5.08,8.41,27.7,30.47,29.73,171.35,225.59,1
Anisoptera,Corduliidae,Neurocordulia yamaskanensis,1.08,NA,1,0.121,52.49,4.93,9.38,38.18,33.74,32.3,214,256.25,1
Anisoptera,Corduliidae,Somatochlora williamsoni,1.8,NA,1,0.12,57.43,5.18,9.22,43.03,38.23,37.54,264.96,321.12,1
Anisoptera,Corduliidae,Somatochlora elongata,2.36,NA,1,0.106,53.34,5.59,9.3,38.44,38.76,38.44,259.24,304.73,1
