Species,Status
Acnistus_arborescens,1
Anisodus_tanguticus,1
Atropa_belladonna,1
Brachistus_stramonifolius,1
Brugmansia_aurea,0
Brugmansia_sanguinea,0
Capsicum_annuum,1
Capsicum_baccatum,1
Capsicum_cardenasii,2
Capsicum_chacoense,1
Capsicum_chinense,1
Capsicum_eximium,1
Capsicum_flexuosum,1
Capsicum_frutescens,1
Capsicum_galapagoense,1
Capsicum_lanceolatum,1
Capsicum_parvifolium,1
Capsicum_pubescens,2
Capsicum_rhomboideum,1
Capsicum_schottianum,1
Capsicum_tovarii,1
Capsicum_villosum,1
Cuatresia_exiguiflora,0
Cuatresia_riparia,0
Datura_inoxia,1
Datura_leichhardtii,1
Datura_metel,1
Datura_stramonium,1
Dunalia_brachyacantha,0
Dunalia_solanacea,4
Dyssochroma_viridiflora,0
Eriolarynx_lorentzii,0
Grabowskia_duplicata,0
Hyoscyamus_albus,1
Hyoscyamus_muticus,1
Hyoscyamus_niger,1
Iochroma_australe,0
Iochroma_cyaneum,0
Iochroma_fuchsioides,0
Iochroma_gesnerioides,0
Jaborosa_integrifolia,0
Jaltomata_auriculata,1
Jaltomata_dentata,1
Jaltomata_grandiflora,1
Jaltomata_hunzikeri,1
Jaltomata_procumbens,1
Jaltomata_sinuosa,1
Lycianthes_asarifolia,0
Lycianthes_ciliolata,0
Lycianthes_rantonnei,0
Lycium_andersonii,0
Lycium_arenicola,4
Lycium_berlandieri,0
Lycium_californicum,3
Lycium_cestroides,0
Lycium_cinereum,0
Lycium_exsertum,4
Lycium_ferocissimum,0
Lycium_fremontii,4
Lycium_gariepense,4
Lycium_hirsutum,0
Lycium_horridum,4
Lycium_minimum,1
Lycium_pallidum,0
Lycium_parishii,0
Lycium_pumilum,0
Lycium_strandveldense,4
Lycium_tetrandrum,4
Lycium_villosum,4
Mandragora_officinarum,0
Nicotiana_acaulis,1
Nicotiana_africana,1
Nicotiana_alata,0
Nicotiana_amplexicaulis,1
Nicotiana_attenuata,1
Nicotiana_benavidesii,1
Nicotiana_benthamiana,1
Nicotiana_bigelovii,0
Nicotiana_bonariensis,0
Nicotiana_cavicola,1
Nicotiana_clevelandii,1
Nicotiana_cordifolia,1
Nicotiana_corymbosa,1
Nicotiana_debneyi,1
Nicotiana_excelsior,1
Nicotiana_exigua,1
Nicotiana_forgetiana,0
Nicotiana_fragrans,1
Nicotiana_glauca,2
Nicotiana_glutinosa,1
Nicotiana_goodspeedii,1
Nicotiana_gossei,1
Nicotiana_hesperis,1
Nicotiana_ingulba,1
Nicotiana_knightiana,1
Nicotiana_langsdorffii,2
Nicotiana_linearis,1
Nicotiana_longiflora,1
Nicotiana_maritima,1
Nicotiana_megalosiphon,1
Nicotiana_miersii,1
Nicotiana_noctiflora,0
Nicotiana_nudicaulis,1
Nicotiana_obtusifolia,1
Nicotiana_occidentalis,1
Nicotiana_otophora,1
Nicotiana_paniculata,1
Nicotiana_petunioides,0
Nicotiana_plumbaginifolia,1
Nicotiana_repanda,1
Nicotiana_rosulata,1
Nicotiana_rotundifolia,1
Nicotiana_rustica,1
Nicotiana_setchellii,1
Nicotiana_simulans,1
Nicotiana_solanifolia,1
Nicotiana_stocktonii,1
Nicotiana_suaveolens,1
Nicotiana_sylvestris,1
Nicotiana_tomentosa,0
Nicotiana_tomentosiformis,1
Nicotiana_umbratica,1
Nicotiana_undulata,1
Nicotiana_velutina,1
Nicotiana_wigandioides,1
Nolana_acuminata,0
Nolana_adansonii,0
Nolana_aticoana,0
Nolana_elegans,1
Nolana_humifusa,2
Nolana_ivaniana,0
Nolana_laxa,0
Nolana_paradoxa,2
