Date,CupID,Herbivore_Common,Herbivore_Scientific,Food_Type,Trial_Time_Days,Temperature,Herb_PreMass,Control_Pre,Treat_Pre,Control_Post,Treat_Post,ConsumpControl,MassCorrConsumpControl,ConsumpTreat,MassCorrConsumpTreat,Comments,,,
8/7/12,j42,Japanese Beetles,Popillia japonica,Wineberry,1,25,0.084,0.299,0.266,0.289,0.278,0.01,0.119047619,-0.012,-0.142857143,,,,
8/7/12,j43,Japanese Beetles,Popillia japonica,Wineberry,1,25,0.148,0.251,0.364,0.185,0.381,0.066,0.445945946,-0.017,-0.114864865,,,,
8/7/12,j46,Japanese Beetles,Popillia japonica,Wineberry,1,25,0.108,0.292,0.317,0.293,0.314,-0.001,-0.009259259,0.003,0.027777778,,,,
8/7/12,j53,Japanese Beetles,Popillia japonica,Wineberry,1,25,0.072,0.434,0.403,0.431,0.344,0.003,0.041666667,0.059,0.819444444,,,,
8/7/12,j54,Japanese Beetles,Popillia japonica,Wineberry,1,25,0.125,0.304,0.427,0.307,0.422,-0.003,-0.024,0.005,0.04,,,,
8/7/12,j21,Japanese Beetles,Popillia japonica,Wineberry,1,25,0.152,0.313,0.403,0.311,0.318,0.002,0.013157895,0.085,0.559210526,,,,
8/7/12,j16,Japanese Beetles,Popillia japonica,Wineberry,1,25,0.091,0.318,0.458,0.325,0.524,-0.007,-0.076923077,-0.066,-0.725274725,DEAD,,,
8/7/12,j58,Japanese Beetles,Popillia japonica,Wineberry,1,25,0.139,0.424,0.416,0.429,0.306,-0.005,-0.035971223,0.11,0.791366906,,,,
8/7/12,j56,Japanese Beetles,Popillia japonica,Wineberry,1,33,0.083,0.368,0.437,0.249,0.428,0.119,1.43373494,0.009,0.108433735,,,,
8/7/12,j59,Japanese Beetles,Popillia japonica,Wineberry,1,33,0.087,0.39,0.402,0.267,0.427,0.123,1.413793103,-0.025,-0.287356322,,,,
8/7/12,j55,Japanese Beetles,Popillia japonica,Wineberry,1,33,0.1,0.514,0.402,0.366,0.412,0.148,1.48,-0.01,-0.1,,,,
8/7/12,j41,Japanese Beetles,Popillia japonica,Wineberry,1,33,0.154,0.442,0.328,0.237,0.346,0.205,1.331168831,-0.018,-0.116883117,,,,
8/7/12,j44,Japanese Beetles,Popillia japonica,Wineberry,1,33,0.127,0.444,0.388,0.445,0.419,-0.001,-0.007874016,-0.031,-0.244094488,DEAD,,,
8/7/12,j45,Japanese Beetles,Popillia japonica,Wineberry,1,33,0.136,0.448,0.42,0.299,0.448,0.149,1.095588235,-0.028,-0.205882353,,,,
