Cultivation,october,october,october,october,october,may,may,may,may,may,march,march,march,march,march,march,may,may,may,may,may,march,march,march,march,march,october,october,october,october,march,march,march,march,march,october,october,october,october,october,may,may,may,may,may,march,march,march,march,march,march,may,may,may,october,october,october,october,october
Block,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,b,b,b,b,b,b,b,b,b,b,b,b,b,b,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,d,d,d,d,d,d,d,d,d,d,d,d,d,d
Plot,1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,5,5,5,5,5,6,6,6,6,7,7,7,7,7,8,8,8,8,8,9,9,9,9,9,10,10,10,10,10,10,12,12,12,11,11,11,11,11
Quadrat,Q1,Q2,Q3,Q4,Q5,Q1,Q2,Q3,Q4,Q5,Q1,Q2,Q3,Q4,Q5,Q6,Q1,Q2,Q3,Q4,Q5,Q1,Q2,Q3,Q4,Q5,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q5,Q1,Q2,Q3,Q4,Q5,Q1,Q2,Q3,Q4,Q5,Q1,Q2,Q3,Q4,Q5,Q6,Q1,Q2,Q4,Q1,Q2,Q3,Q4,Q5
Achillea millefolium,4,8,3,20,6,4,,,,,1,2,5,12,2,,,,,,,3,8,3,7,20,1,,3,1,24,26,37,37,100,2,,,1,,,,7,,5,7,2,2,9,4,10,,,,,,12,6,5
Agrostis gigantea,,,,,15,,,,,2,8,,53,16,47,12,68,57,83,88,89,10,29,24,24,43,143,39,10,67,62,22,37,4,27,198,96,99,48,351,57,41,65,38,45,259,33,96,291,19,80,33,145,45,62,25,57,113,12
Anagallis arvensis,,,,,,,,,,2,,,,,,,,1,,2,,,,,,,,,,,,,,,,2,3,,2,,,2,1,13,9,,,,,2,,9,8,17,,12,,12,
Anchusa arvensis,,3,1,1,,1,,,,,,,,,,,,3,2,,3,,,,,,,,,,,,,,,,,,1,,3,4,8,6,1,,,,,,,,,,,,,,
Anisantha sterilis,,,,,5,,,,,,,,,,,,62,48,78,12,72,,,,,,1,,,,,7,,7,24,,,,,,71,120,20,6,24,,5,,5,1,,14,,8,,,,,3
Aphanes australis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
