Numbers,OriginalID,FinalID,Resource,ResCommon,ResIDLevel,ResKingdom,ResPhylum,ResClass,ResOrder,ResFamily,ResGenus,ResSpecies,ResTrophic,ResTrophicGroup_citation,ResType,ResStage,ResThermy,,,,
1,1,MTD1,Diaptomus tyrelli,calanoid copepod,species,Animalia,Arthropoda,Copepoda,Calanoida,Diaptomidae,Diaptomus,Diaptomus tyrelli,omnivore,Kleppel 1993a,alive,adult,ectotherm,,,,
4,2,MTD2,Diaptomus tyrelli,calanoid copepod,species,Animalia,Arthropoda,Copepoda,Calanoida,Diaptomidae,Diaptomus,Diaptomus tyrelli,omnivore,Kleppel 1993a,alive,adult,ectotherm,,,,
6,3,MTD3,Diaptomus tyrelli,calanoid copepod,species,Animalia,Arthropoda,Copepoda,Calanoida,Diaptomidae,Diaptomus,Diaptomus tyrelli,omnivore,Kleppel 1993a,alive,adult,ectotherm,,,,
9,4,MTD4,zooplankton,zooplankton,NA,NA,NA,NA,NA,NA,NA,NA,omnivore,NA,alive,NA,ectotherm,,,,
12,5,MTD5,artificial diet,artificial diet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,artificial,NA,NA,,,,
75,6,MTD6,Anisops deanei,back-swimmer,species,Animalia,Arthropoda,Insecta,Hemiptera,Notonectidae,Anisops,Anisops deanei,carnivore,NA,alive,adult,ectotherm,,,,
107,11,MTD7,Chlorella vulgaris,green algae,species,Plantae,Chlorophyta,Trebouxiophyceae,Chlorellales,Chlorellaceae,Chlorella,Chlorella vulgaris,producer,NA,alive,NA,ectotherm,,,,
110,12,MTD8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
112,13,MTD9,Tubifex spp.,sludge worm,genus,Animalia,Annelida,Clitellata,Haplotaxida,Naididae,Tubifex,NA,detritivore,NA,alive,adult,ectotherm,,,,
115,13,MTD10,Tubifex spp.,sludge worm,genus,Animalia,Annelida,Clitellata,Haplotaxida,Naididae,Tubifex,NA,detritivore,NA,alive,adult,ectotherm,,,,
237,14,MTD11,Crangonyx richmondensis,amphipod,species,Animalia,Arthropoda,Malacostraca,Amphipoda,Crangonyctidae,Crangonyx,Crangonyx richmondensis,omnivore,http://dante.uark.edu/aas/issues/1982v36/v36a27.pdf,alive,adult,ectotherm,,,,
242,15,MTD12,Chaoborus obscuripes,phantom midge,species,Animalia,Arthropoda,Insecta,Diptera,Chaoboridae,Chaoborus,Chaoborus obscuripes,carnivore,NA,alive,larvae,ectotherm,,,,
246,20,MTD13,Chaoborus obscuripes,phantom midge,species,Animalia,Arthropoda,Insecta,Diptera,Chaoboridae,Chaoborus,Chaoborus obscuripes,carnivore,NA,alive,larvae,ectotherm,,,,
250,40,MTD14,Chaoborus obscuripes,phantom midge,species,Animalia,Arthropoda,Insecta,Diptera,Chaoboridae,Chaoborus,Chaoborus obscuripes,carnivore,NA,alive,larvae,ectotherm,,,,
254,61,MTD15,Chaoborus obscuripes,phantom midge,species,Animalia,Arthropoda,Insecta,Diptera,Chaoboridae,Chaoborus,Chaoborus obscuripes,carnivore,NA,alive,larvae,ectotherm,,,,
258,65,MTD16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
264,66,MTD17,Diaptomus tyrelli,calanoid copepod,species,Animalia,Arthropoda,Copepoda,Calanoida,Diaptomidae,Diaptomus,Diaptomus tyrelli,omnivore,Kleppel 1993a,alive,adult,ectotherm,,,,
268,67,MTD18,Chaoborus obscuripes,phantom midge,species,Animalia,Arthropoda,Insecta,Diptera,Chaoboridae,Chaoborus,Chaoborus obscuripes,carnivore,NA,alive,instar 4,ectotherm,,,,
272,68,MTD19,Pseudophryne bibroni,'bibron''s toadlet',species,Animalia,Chordata,Amphibia,Anura,Myobatrachidae,Pseudophryne,Pseudophryne bibroni,herbivore,NA,alive,larvae,ectotherm,,,,
274,69,MTD20,Danio rerio,zebra danio,species,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Danio,Danio rerio,omnivore,NA,alive,juvenile,ectotherm,,,,
276,70,MTD21,Culex pipiens,culex mosquito,species,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Culex,Culex pipiens,omnivore,NA,alive,larvae,ectotherm,,,,
280,71,MTD22,Chironomus tentans,chironomid,species,Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Chironomus,Chironomus tentans,omnivore,http://www3.interscience.wiley.com/journal/119472844/abstract,alive,instar 3,ectotherm,,,,
284,72,MTD23,Chironomus tentans,chironomid,species,Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Chironomus,Chironomus tentans,omnivore,http://www3.interscience.wiley.com/journal/119472844/abstract,alive,instar 3,ectotherm,,,,
288,73,MTD24,Chironomus tentans,chironomid,species,Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Chironomus,Chironomus tentans,omnivore,http://www3.interscience.wiley.com/journal/119472844/abstract,alive,instar 3,ectotherm,,,,
292,74,MTD25,Chironomus tentans,chironomid,species,Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Chironomus,Chironomus tentans,omnivore,http://www3.interscience.wiley.com/journal/119472844/abstract,alive,instar 3,ectotherm,,,,
296,75,MTD26,Chironomus tentans,chironomid,species,Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Chironomus,Chironomus tentans,omnivore,http://www3.interscience.wiley.com/journal/119472844/abstract,alive,instar 3,ectotherm,,,,
300,76,MTD27,Chironomus tentans,chironomid,species,Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Chironomus,Chironomus tentans,omnivore,http://www3.interscience.wiley.com/journal/119472844/abstract,alive,instar 3,ectotherm,,,,
304,78,MTD28,chicken liver,chicken liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,artificial,NA,NA,,,,
311,79,MTD29,Daphnia magna,water flea,species,Animalia,Arthropoda,Branchiopoda,Cladocera,Daphniidae,Daphnia,Daphnia magna,omnivore,http://en.wikipedia.org/wiki/Daphnia#Ecology,alive,adult,ectotherm,,,,
317,136,MTD30,Coregonus clupeaformis,lake whitefish,species,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Coregonus,Coregonus clupeaformis,carnivore,http://en.wikipedia.org/wiki/Salmonidae,alive,juvenile,ectotherm,,,,
321,137,MTD31,chicken liver,chicken liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,artificial,NA,NA,,,,
322,138,MTD32,minnow,minnow,family,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,NA,NA,omnivore,NA,alive,adult,ectotherm,,,,
337,139,MTD33,'sediment ''a''','sediment ''a''',NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,artificial,NA,NA,,,,
342,140,MTD34,Chaoborus obscuripes,phantom midge,species,Animalia,Arthropoda,Insecta,Diptera,Chaoboridae,Chaoborus,Chaoborus obscuripes,carnivore,NA,alive,instar 4,ectotherm,,,,
347,150,MTD35,Chaoborus obscuripes,phantom midge,species,Animalia,Arthropoda,Insecta,Diptera,Chaoboridae,Chaoborus,Chaoborus obscuripes,carnivore,NA,alive,instar 4,ectotherm,,,,
352,160,MTD36,Chaoborus obscuripes,phantom midge,species,Animalia,Arthropoda,Insecta,Diptera,Chaoboridae,Chaoborus,Chaoborus obscuripes,carnivore,NA,alive,instar 4,ectotherm,,,,
357,170,MTD37,Chaoborus obscuripes,phantom midge,species,Animalia,Arthropoda,Insecta,Diptera,Chaoboridae,Chaoborus,Chaoborus obscuripes,carnivore,NA,alive,instar 4,ectotherm,,,,
362,180,MTD38,Chaoborus obscuripes,phantom midge,species,Animalia,Arthropoda,Insecta,Diptera,Chaoboridae,Chaoborus,Chaoborus obscuripes,carnivore,NA,alive,instar 4,ectotherm,,,,
367,190,MTD39,Chaoborus obscuripes,phantom midge,species,Animalia,Arthropoda,Insecta,Diptera,Chaoboridae,Chaoborus,Chaoborus obscuripes,carnivore,NA,alive,instar 4,ectotherm,,,,
372,200,MTD40,chicken liver,chicken liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,artificial,NA,NA,,,,
