1,1,MTD1,Resource Consumption Rate,The number of resource consumed per number of consumers per time,6,freshwater,temperate,Eunice Lake; Ontario; Canada,NA,NA,NA,51.254,-85.323
4,2,MTD2,Resource Consumption Rate,The number of resource consumed per number of consumers per time,6,freshwater,temperate,Eunice Lake; Ontario; Canada,NA,NA,NA,51.254,-85.323
6,3,MTD3,Resource Consumption Rate,The number of resource consumed per number of consumers per time,6,freshwater,temperate,Eunice Lake; Ontario; Canada,NA,NA,NA,51.254,-85.323
9,4,MTD4,Resource Mass Consumption Rate,The mass of resource consumed by consumers per time,4,freshwater,temperate,Swan Creek & Lake Manitoba; Winnipeg; Canada,NA,NA,NA,50.109,-97.802
12,5,MTD5,Resource Mass Consumption Rate,The mass of resource consumed by consumers per time,1,freshwater,temperate,Beijing; China,NA,NA,NA,39.905,116.408
75,6,MTD6,Resource Consumption Rate,The number of resource consumed per number of consumers per time,1,freshwater,temperate,Adelaide; South Australia; Australia,NA,NA,NA,-34.933,138.6
107,11,MTD7,Mass-Specific Mass Consumption Rate,The mass of resource consumed by mass of consumers per time,10,freshwater,temperate,Lake Kinneret; Israel,NA,NA,NA,32.833,35.583
110,12,MTD8,Voluntary Body Velocity,Velocity of the whole organism with no apparent stimulus,12,freshwater,temperate,Eunice Lake; Ontario; Canada,NA,NA,NA,51.254,-85.323
112,13,MTD9,Resource Mass Consumption Rate,The mass of resource consumed by consumers per time,1,freshwater,temperate,Aberystwyth; Dyfed; UK,NA,NA,NA,52.417,-4.067
115,13,MTD10,Resource Mass Consumption Rate,The mass of resource consumed by consumers per time,1,freshwater,temperate,Aberystwyth; Dyfed; UK,NA,NA,NA,52.417,-4.067
237,14,MTD11,Forward Attack Distance,Distance to a resource when a consumer initiates an attack when resource positioned directly in front of the forward body axis of the consumer,9,freshwater,temperate,Marion Lake; British Columbia; Canada,NA,NA,NA,50.994,-127
242,15,MTD12,Foraging Velocity,Velocity of the whole animal when foraging for food,6,freshwater,temperate,Lake Sovdeborg; Sweden,NA,NA,NA,55.576,13.669
246,20,MTD13,Resource Consumption Rate,The number of resource consumed per number of consumers per time,6,freshwater,temperate,Lake Sovdeborg; Sweden,NA,NA,NA,55.576,13.669
250,40,MTD14,Foraging Velocity,Velocity of the whole animal when foraging for food,6,freshwater,temperate,Lake Sovdeborg; Sweden,NA,NA,NA,55.576,13.669
254,61,MTD15,Resource Consumption Rate,The number of resource consumed per number of consumers per time,6,freshwater,temperate,Lake Sovdeborg; Sweden,NA,NA,NA,55.576,13.669
258,65,MTD16,Voluntary Body Velocity,Velocity of the whole organism with no apparent stimulus,12,freshwater,temperate,Florida; USA,NA,NA,NA,27.665,-81.516
264,66,MTD17,Resource Consumption Rate,The number of resource consumed per number of consumers per time,6,freshwater,temperate,Eunice Lake; Ontario; Canada,NA,NA,NA,51.254,-85.323
268,67,MTD18,Forward Attack Distance,Distance to a resource when a consumer initiates an attack when resource positioned directly in front of the forward body axis of the consumer,30,freshwater,temperate,Southern Sweden,NA,NA,NA,58.148,13.887
272,68,MTD19,Resource Consumption Rate,The number of resource consumed per number of consumers per time,5,freshwater,temperate,South Australia; Australia,NA,NA,NA,-32.029,135.002
274,69,MTD20,Resource Reaction Distance,Distance from resource to consumer when resource apparently first reacts to approaching consumer (i.e.; stops and/or moves away),NA,freshwater,NA,NA,NA,NA,NA,NA,NA
276,70,MTD21,Resource Consumption Rate,The number of resource consumed per number of consumers per time,5,freshwater,temperate,Southern California; USA,NA,NA,NA,33.669,-116.323
280,71,MTD22,Resource Consumption Rate,The number of resource consumed per number of consumers per time,5,freshwater,temperate,South Carolina; USA,NA,NA,NA,33.834,-81.167
284,72,MTD23,Resource Consumption Rate,The number of resource consumed per number of consumers per time,5,freshwater,temperate,South Carolina; USA,NA,NA,NA,33.834,-81.167
288,73,MTD24,Resource Consumption Rate,The number of resource consumed per number of consumers per time,5,freshwater,temperate,South Carolina; USA,NA,NA,NA,33.834,-81.167
292,74,MTD25,Resource Consumption Rate,The number of resource consumed per number of consumers per time,5,freshwater,temperate,South Carolina; USA,NA,NA,NA,33.834,-81.167
296,75,MTD26,Resource Consumption Rate,The number of resource consumed per number of consumers per time,5,freshwater,temperate,South Carolina; USA,NA,NA,NA,33.834,-81.167
300,76,MTD27,Resource Consumption Rate,The number of resource consumed per number of consumers per time,5,freshwater,temperate,South Carolina; USA,NA,NA,NA,33.834,-81.167
304,78,MTD28,Forward Attack Distance,Distance to a resource when a consumer initiates an attack when resource positioned directly in front of the forward body axis of the consumer,10,freshwater,temperate,Marion Lake; British Columbia; Canada,NA,NA,NA,50.994,-127
311,79,MTD29,Resource Consumption Rate,The number of resource consumed per number of consumers per time,4,freshwater,temperate,York; UK,NA,NA,NA,53.955,-1.073
317,136,MTD30,Resource Consumption Rate,The number of resource consumed per number of consumers per time,8,freshwater,temperate,Lake Michigan; Michigan; USA,NA,NA,NA,43.453,-87.231
321,137,MTD31,Forward Attack Distance,Distance to a resource when a consumer initiates an attack when resource positioned directly in front of the forward body axis of the consumer,NA,freshwater,temperate,Marion Lake; British Columbia; Canada,NA,NA,NA,50.994,-127
322,138,MTD32,Resource Mass Consumption Rate,The mass of resource consumed by consumers per time,1,freshwater,temperate,Maple; Ontario; USA,NA,NA,NA,43.855,-79.517
337,139,MTD33,Resource Mass Consumption Rate,The mass of resource consumed by consumers per time,NA,freshwater,temperate,Butler County; Idaho; USA,NA,NA,NA,47.522,-116.134
342,140,MTD34,Resource Consumption Rate,The number of resource consumed per number of consumers per time,6,freshwater,temperate,Southern Sweden,NA,NA,NA,58.148,13.887
347,150,MTD35,Resource Consumption Rate,The number of resource consumed per number of consumers per time,6,freshwater,temperate,Southern Sweden,NA,NA,NA,58.148,13.887
352,160,MTD36,Resource Consumption Rate,The number of resource consumed per number of consumers per time,6,freshwater,temperate,Southern Sweden,NA,NA,NA,58.148,13.887
357,170,MTD37,Resource Consumption Rate,The number of resource consumed per number of consumers per time,6,freshwater,temperate,Southern Sweden,NA,NA,NA,58.148,13.887
362,180,MTD38,Resource Consumption Rate,The number of resource consumed per number of consumers per time,6,freshwater,temperate,Southern Sweden,NA,NA,NA,58.148,13.887
367,190,MTD39,Resource Consumption Rate,The number of resource consumed per number of consumers per time,6,freshwater,temperate,Southern Sweden,NA,NA,NA,58.148,13.887
372,200,MTD40,Forward Attack Distance,Distance to a resource when a consumer initiates an attack when resource positioned directly in front of the forward body axis of the consumer,NA,freshwater,temperate,Marion Lake; British Columbia; Canada,NA,NA,NA,50.994,-127
376,202,MTD41,Forward Attack Distance,Distance to a resource when a consumer initiates an attack when resource positioned directly in front of the forward body axis of the consumer,29,freshwater,temperate,Netherlands,NA,NA,NA,52.133,5.29
379,203,MTD42,Resource Mass Consumption Rate,The mass of resource consumed by consumers per time,7,freshwater,temperate,Lake Mendota; Wisconsin; USA,NA,NA,NA,43.105,-89.408
384,205,MTD43,Voluntary Body Velocity,Velocity of the whole organism with no apparent stimulus,10,freshwater,temperate,south-west Finland,NA,NA,NA,61.991,21.599
390,207,MTD44,Resource Mass Consumption Rate,The mass of resource consumed by consumers per time,7,freshwater,temperate,Lake Mendota; Wisconsin; USA,NA,NA,NA,43.105,-89.408
396,209,MTD45,Resource Mass Consumption Rate,The mass of resource consumed by consumers per time,7,freshwater,temperate,Lake Mendota; Wisconsin; USA,NA,NA,NA,43.105,-89.408
403,211,MTD46,Resource Mass Consumption Rate,The mass of resource consumed by consumers per time,7,freshwater,temperate,Lake Mendota; Wisconsin; USA,NA,NA,NA,43.105,-89.408
410,213,MTD47,Resource Mass Consumption Rate,The mass of resource consumed by consumers per time,7,freshwater,temperate,Lake Mendota; Wisconsin; USA,NA,NA,NA,43.105,-89.408
416,215,MTD48,Resource Mass Consumption Rate,The mass of resource consumed by consumers per time,7,freshwater,temperate,Lake Mendota; Wisconsin; USA,NA,NA,NA,43.105,-89.408
421,217,MTD49,Resource Mass Consumption Rate,The mass of resource consumed by consumers per time,7,freshwater,temperate,Lake Mendota; Wisconsin; USA,NA,NA,NA,43.105,-89.408
