Study,Experiment,Temp,STD.Temp,Met,STD.Met,Cons,STD.Cons,Growth,STD.Growth,STD.Growth.Pos,Sp,Common,Source,plotchar,fillcol
1,1,14,-1.177,0.35,-1.2,0.013,-1.393,0.005,-1.446,0.592,Manduca sexta,Tobacco Hookworm,Kingsolver and Woods 1997,24,white
1,1,18,-0.784,0.61,-0.829,0.029,-0.705,0.012,-0.616,1.422,Manduca sexta,Tobacco Hookworm,Kingsolver and Woods 1998,24,white
1,1,26,0,1.3,0.154,0.056,0.456,0.021,0.45,2.488,Manduca sexta,Tobacco Hookworm,Kingsolver and Woods 1999,24,white
1,1,34,0.784,1.7,0.724,0.066,0.885,0.025,0.924,2.962,Manduca sexta,Tobacco Hookworm,Kingsolver and Woods 2000,24,white
1,1,38,1.177,2,1.151,0.063,0.756,0.023,0.687,2.725,Manduca sexta,Tobacco Hookworm,Kingsolver and Woods 2001,24,white
1,1,42,1.569,2.5,1.864,0.018,-1.178,0,-2.038,0,Manduca sexta,Tobacco Hookworm,Kingsolver and Woods 2002,24,white
2,2,14,-1.029,20.1,-1.122,17.3,-0.519,-3.6,-0.456,-0.456,Paralichthys californicus,Halibut - adult,Madon 2002,21,grey
2,2,20,0.061,27.4,0.323,130,1.153,38.6,1.147,1.147,Paralichthys californicus,Halibut - adult,Madon 2002,21,grey
2,2,25,0.968,29.8,0.798,9.5,-0.634,-9.8,-0.691,-0.691,Paralichthys californicus,Halibut - adult,Madon 2002,21,grey
2,3,14,-1.264,24.3,-0.909,70.8,-0.193,13.5,-0.845,0,Paralichthys californicus,Halibut - juvenile,Madon 2002,21,black
2,3,20,-0.285,31.7,-0.42,41.7,-1.093,19.2,-0.398,0.447,Paralichthys californicus,Halibut - juvenile,Madon 2002,21,black
2,3,25,0.53,36.8,-0.083,75.7,-0.042,21.7,-0.202,0.643,Paralichthys californicus,Halibut - juvenile,Madon 2002,21,black
2,3,28,1.019,59.4,1.411,120,1.329,42.7,1.445,2.29,Paralichthys californicus,Halibut - juvenile,Madon 2002,21,black
3,4,6,-1.097,0.048,-1.078,0.092,-1.255,0.008,-0.893,0,Acipenser oxyrinchus,Sturgeon - juvenile,Niklitschek and Secor,21,white
3,4,12,-0.47,0.099,-0.584,0.25,-0.337,0.023,-0.035,0.858,Acipenser oxyrinchus,Sturgeon - juvenile,Niklitschek and Secor,21,white
3,4,20,0.366,0.22,0.589,0.47,0.942,0.049,1.405,2.298,Acipenser oxyrinchus,Sturgeon - juvenile,Niklitschek and Secor,21,white
3,4,28,1.201,0.27,1.073,0.42,0.651,0.015,-0.478,0.415,Acipenser oxyrinchus,Sturgeon - juvenile,Niklitschek and Secor,21,white
4,5,10,-1.581,1.86,-0.731,0.201,-1.274,0.097,-0.809,0.435,Oncorhynchus mykiss,Rainbow Trout,Myrick and Cech,24,grey
4,5,14,-0.806,1.73,-0.748,0.226,-0.964,0.153,-0.439,0.805,Oncorhynchus mykiss,Rainbow Trout,Myrick and Cech,24,grey
4,5,19,0.161,1.95,-0.719,0.238,-0.815,0.17,-0.33,0.914,Oncorhynchus mykiss,Rainbow Trout,Myrick and Cech,24,grey
4,6,10,-1.581,1.96,-0.718,0.327,0.292,0.173,-0.308,0.936,Oncorhynchus mykiss,Rainbow Trout,Myrick and Cech,24,grey
4,6,14,-0.806,1.7,-0.752,0.261,-0.524,0.187,-0.221,1.023,Oncorhynchus mykiss,Rainbow Trout,Myrick and Cech,24,grey
4,6,19,0.161,1.88,-0.728,0.248,-0.684,0.177,-0.287,0.957,Oncorhynchus mykiss,Rainbow Trout,Myrick and Cech,24,grey
