LCC,bio1,bio12
0,96.43,743.25
1,99.1,734.38
2,94.85,795.58
3,94.43,769.54
4,95.6,772.23
5,96.07,842.6
6,94.14,767.25
7,90.64,873.42
8,93.93,759.63
9,92.63,894.44
10,95.72,756.39
11,93.18,783.47
12,93.59,731.25
16,103.0,784.0
18,90.05,974.92
20,92.7,997.66
21,91.33,1100.44
23,91.46,923.39
24,77.97,1196.23
25,91.01,899.56
26,72.93,1359.72
27,70.85,1250.96
29,83.56,1172.29
30,91.19,1078.98
31,68.67,1514.69
32,50.83,1626.38
35,97.58,833.62
36,79.95,1234.45
37,97.27,812.73
39,93.64,935.51
40,91.26,934.24
41,87.0,1137.66
42,99.33,1030.0
43,94.54,961.38
44,92.19,1167.91
