x	y1	y2	y3	Label
3.515424	4320	4320	0	NA
3.533984	2160	2160	0	NA
3.557647	4320	4320	0	NA
3.569953	4320	4320	0	NA
3.578984	8640	8640	0	NA
3.585665	2160	2160	0	NA
3.590531	8640	8640	0	NA
3.595251	2880	2880	0	NA
3.597496	8640	8640	0	NA
3.602896	4320	4320	0	NA
3.605551	4320	4320	0	NA
3.61521	17280	17280	0	NA
3.615798	720	720	0	NA
3.622346	1440	1440	0	NA
3.628446	4320	4320	0	NA
3.636744	8640	8640	0	NA
3.642291	4320	4320	0	NA
3.643157	8640	8640	0	NA
3.644081	2160	2160	0	NA
3.647636	8640	8640	0	NA
3.651015	4320	4320	0	NA
3.652021	4320	4320	0	NA
3.65273	2160	2160	0	NA
3.653701	8640	8640	0	NA
3.664143	8640	8640	0	NA
3.665376	4320	4320	0	NA
3.668593	1440	1440	0	NA
3.669778	1440	1440	0	NA
3.673891	1440	1440	0	NA
3.675256	4320	4320	0	NA
3.675718	4320	4320	0	NA
3.677536	4320	4320	0	NA
3.68791	8640	8640	0	NA
3.689432	720	720	0	NA
3.691653	8640	8640	0	NA
3.693282	2160	2160	0	NA
3.697128	4320	4320	0	NA
3.699735	8640	8640	0	NA
3.70187	2880	2880	0	NA
3.703318	4320	4320	0	NA
3.708056	1440	1440	0	NA
3.70843	8640	8640	0	NA
3.710119	4320	4320	0	NA
3.715208	720	720	0	NA
3.715812	4320	4320	0	NA
3.722448	2160	2160	0	NA
3.729295	4320	4320	0	NA
3.730988	8640	8640	0	NA
3.733048	360	360	0	NA
3.734537	4320	4320	0	NA
3.735218	8640	8640	0	NA
3.741351	8640	8640	0	NA
3.741657	1440	1440	0	NA
3.743378	2160	2160	0	NA
3.745554	8640	8640	0	NA
3.751927	720	720	0	NA
3.7533	2160	2160	0	NA
3.756958	1440	1440	0	NA
3.757281	8640	8640	0	NA
3.763333	4320	4320	0	NA
3.763564	4320	4320	0	NA
3.765342	1440	1440	0	NA
3.766595	4320	4320	0	NA
3.773453	2160	2160	0	NA
3.774086	2880	2880	0	NA
3.775256	720	720	0	NA
3.77686	1440	1440	0	NA
3.786961	1440	1440	0	NA
3.789851	4320	4320	0	NA
3.791288	1440	1440	0	NA
3.795912	2160	2160	0	NA
3.796518	2880	2880	0	NA
3.800819	2160	2160	0	NA
3.805953	2880	2880	0	NA
3.807452	1440	1440	0	NA
3.808731	720	720	0	NA
3.819519	720	720	720	F
3.825343	2160	2160	0	NA
3.830134	720	720	720	E
3.837057	4320	4320	4320	D
3.842523	240	240	0	NA
3.850875	720	720	0	NA
3.85225	1440	1440	0	NA
3.855575	1440	0	0	NA
3.865576	2880	2880	0	NA
3.871002	720	720	720	C
3.878245	360	360	0	NA
3.890562	720	720	720	B
3.897632	2160	0	0	NA
3.902155	120	120	0	NA
3.915284	1440	0	0	NA
3.920952	72	72	0	NA
3.94275	1440	0	0	NA
3.943905	360	360	360	A
3.983147	240	0	0	NA
4.032628	120	0	0	NA
4.04844	72	0	0	NA

